C.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	doni	donner	to give	grupo	alternativoj	prononco
level	mi	moi, moi	I, me	grupo	alternativoj	prononco
level	vi	toi	you	grupo	alternativoj	prononco
level	havi	avoir, porter, porter, posséder	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	elle	she	grupo	alternativoj	prononco
level	li	il	he	grupo	alternativoj	prononco
level	ili	ils	they	grupo	alternativoj	prononco
level	ĝi	il	it	grupo	alternativoj	prononco
level	oni	un, quelqu'un, quelqu'un	one, someone, somebody	grupo	alternativoj	prononco
level	ni	nous nous	we, us	grupo	alternativoj	prononco
level	si	soi-même	oneself	grupo	alternativoj	prononco
level	mem	par soi-même	by oneself	grupo	alternativoj	prononco
level	ĝis ~	jusqu'à ~, jusqu'à ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	de ~	of ~	grupo	alternativoj	prononco
level	da ~	(beaucoup) de ~, (beaucoup) de ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<suffix>chose, manifestation concrète	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	près, près de, bientôt, à proximité	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<suffix>action répétitive, action durable	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<suffix>présent	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<suffix>passé	<suffix> past tense	grupo	alternativoj	prononco
level	esti	être	to be	grupo	alternativoj	prononco
level	-os	<suffix>le futur	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<prep>avant ~, devant ~	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	faire, faire	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<prep>aussi trop	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	après ~	after ~	grupo	alternativoj	prononco
level	mal-	<prefix>opposé	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	<suffix>une personne ayant un certain caractère	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<suffix>femelle	<suffix> female	grupo	alternativoj	prononco
level	-ant-	<suffix>présent actif, est ~ing, quelqu'un qui ~ing	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<suffix>passé actif, était ~ing	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<suffix>un avenir actif, sera ~ing	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	et	and	grupo	alternativoj	prononco
level	aŭ	ou	or	grupo	alternativoj	prononco
level	alta	grande taille	high, tall	grupo	alternativoj	prononco
level	jes	Oui	yes	grupo	alternativoj	prononco
level	ne	non, non	not, no	grupo	alternativoj	prononco
level	tiom	tant, tel montant, tel montant	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	bien	good	grupo	alternativoj	prononco
level	kiom	combien	how much, how many	grupo	alternativoj	prononco
