C.pa content.tsv
Level	Esperanto	pa	en-us	Grupo	Alternativoj	Pronoco
level	doni	ਨੂੰ ਦੇਣ ਲਈ	to give	grupo	alternativoj	prononco
level	mi	ਮੈਂ, ਮੈਂ	I, me	grupo	alternativoj	prononco
level	vi	ਤੁਸੀਂ	you	grupo	alternativoj	prononco
level	havi	ਹੋਣਾ, ਪਹਿਨਣਾ, ਚੁੱਕਣਾ, ਆਪਣਾ ਹੋਣਾ	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ਉਹ	she	grupo	alternativoj	prononco
level	li	ਉਹ	he	grupo	alternativoj	prononco
level	ili	ਉਹ	they	grupo	alternativoj	prononco
level	ĝi	ਇਹ	it	grupo	alternativoj	prononco
level	oni	ਇੱਕ, ਕੋਈ, ਕੋਈ	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ਅਸੀਂ, ਅਸੀਂ	we, us	grupo	alternativoj	prononco
level	si	ਆਪਣੇ ਆਪ ਨੂੰ	oneself	grupo	alternativoj	prononco
level	mem	ਆਪਣੇ ਆਪ ਦੁਆਰਾ	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ ਤੱਕ, ~ ਤੱਕ	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	ਦਾ ~	of ~	grupo	alternativoj	prononco
level	da ~	(ਬਹੁਤ) ਦਾ ~, (ਬਹੁਤ ਸਾਰੇ) ~ ਦਾ	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(ਪਿਛੇਤਰ) ਚੀਜ਼, ਠੋਸ ਪ੍ਰਗਟਾਵੇ	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	ਨੇੜੇ, ਨੇੜੇ, ਨੇੜੇ, ਨੇੜੇ	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(ਪਿਛੇਤਰ) ਦੁਹਰਾਉਣ ਵਾਲੀ ਕਿਰਿਆ, ਸਥਾਈ ਕਿਰਿਆ	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(ਪਿਛੇਤਰ) ਵਰਤਮਾਨ ਕਾਲ	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(ਪਿਛੇਤਰ) ਭੂਤਕਾਲ	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	ਹੋਣ ਵਾਲਾ	to be	grupo	alternativoj	prononco
level	-os	(ਪਿਛੇਤਰ) ਭਵਿੱਖ ਕਾਲ	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) ~ ਤੋਂ ਪਹਿਲਾਂ, ~ ਦੇ ਸਾਹਮਣੇ	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	ਬਣਾਉਣਾ, ਕਰਨਾ	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) ਵੀ, ਵੀ	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	ਬਾਅਦ ~	after ~	grupo	alternativoj	prononco
level	mal-	(ਅਗੇਤਰ) ਉਲਟ	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(ਪਿਛੇਤਰ) ਕਿਸੇ ਗੁਣ ਦਾ ਵਿਅਕਤੀ	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(ਪਿਛੇਤਰ) ਔਰਤ	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(ਪਿਛੇਤਰ) ਕਿਰਿਆਸ਼ੀਲ ਮੌਜੂਦ, ~ing ਹੈ, ਕੋਈ ਵਿਅਕਤੀ ਜੋ ~ing ਹੈ	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(ਪਿਛੇਤਰ) ਕਿਰਿਆਸ਼ੀਲ ਭੂਤਕਾਲ, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(ਪਿਛੇਤਰ) ਕਿਰਿਆਸ਼ੀਲ ਭਵਿੱਖ, ~ing ਹੋਵੇਗਾ	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	ਅਤੇ	and	grupo	alternativoj	prononco
level	aŭ	ਜਾਂ	or	grupo	alternativoj	prononco
level	alta	ਉੱਚਾ, ਉੱਚਾ	high, tall	grupo	alternativoj	prononco
level	jes	ਹਾਂ	yes	grupo	alternativoj	prononco
level	ne	ਨਹੀਂ, ਨਹੀਂ	not, no	grupo	alternativoj	prononco
level	tiom	ਇੰਨੀ ਜ਼ਿਆਦਾ, ਇੰਨੀ ਰਕਮ, ਉਹ ਰਕਮ	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	ਚੰਗਾ	good	grupo	alternativoj	prononco
level	kiom	ਕਿੰਨਾ, ਕਿੰਨੇ	how much, how many	grupo	alternativoj	prononco
level	ofte	ਅਕਸਰ, ਅਕਸਰ	often, frequently	grupo	alternativoj	prononco
level	iom	ਥੋੜਾ, ਸਗੋਂ, ਕੁਝ, ਕੁਝ ਹੱਦ ਤੱਕ	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	ਨਵਾਂ, ਨਾਵਲ	new, novel	grupo	alternativoj	prononco
level	-at-	(ਪਿਛੇਤਰ) ਪੈਸਿਵ ਮੌਜੂਦ ਭਾਗੀ	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(ਪਿਛੇਤਰ) ਪੈਸਿਵ ਪਿਛਲੇ ਭਾਗੀ	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(ਪਿਛੇਤਰ) ਪੈਸਿਵ ਭਵਿੱਖ ਭਾਗੀਦਾਰ	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	ਬਹੁਤ, ਬਹੁਤ, ਬਹੁਤ	very, quite, very much	grupo	alternativoj	prononco
level	tro	ਬਹੁਤ ਜ਼ਿਆਦਾ, ਬਹੁਤ ਜ਼ਿਆਦਾ	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	ਹਾਲਾਂਕਿ, ਫਿਰ ਵੀ, ਪਰ, ਫਿਰ ਵੀ	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	ਓਏ! ਹੋ!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	ਕਿ ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	ਕਿਉਂਕਿ ~	because ~	grupo	alternativoj	prononco
level	ĉu	ਚਾਹੇ ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(ਪਿਛੇਤਰ) ਸਥਾਨ	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(ਪਿਛੇਤਰ) ਗੁਣ ਦਾ ਸਾਰ ਨਾਮ	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	ਦੋਵੇਂ ~	both ~	grupo	alternativoj	prononco
level	tuj	ਤੁਰੰਤ, ਤੁਰੰਤ, ਤੁਰੰਤ	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	ਜਿਵੇਂ ਕਿ ~	as if ~	grupo	alternativoj	prononco
level	kiam	ਜਦੋਂ	when	grupo	alternativoj	prononco
level	silenti	ਚੁੱਪ ਰਹਿਣ ਲਈ, ਚੁੱਪ ਰਹਿਣ ਲਈ	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ਕਦੇ ਨਹੀਂ, ਕਦੇ ਨਹੀਂ, ਕਦੇ ਨਹੀਂ	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	ਇਸ ਲਈ, ਇਸ ਲਈ	therefore, so	grupo	alternativoj	prononco
level	kial	ਕਿਉਂ, ਕਿਸ ਲਈ	why, what for	grupo	alternativoj	prononco
level	kvankam	ਹਾਲਾਂਕਿ ~, ਜਦਕਿ, ਹਾਲਾਂਕਿ	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) at ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	ਹੋਰ	more	grupo	alternativoj	prononco
level	plej	ਜ਼ਿਆਦਾਤਰ	most	grupo	alternativoj	prononco
level	diri	ਕਹਿਣ ਲਈ, ਦੱਸਣ ਲਈ	to say, to tell	grupo	alternativoj	prononco
level	ol ~	~ ਨਾਲੋਂ	than ~	grupo	alternativoj	prononco
level	paroli	ਬੋਲਣ ਲਈ, ਗੱਲ ਕਰਨ ਲਈ	to speak, to talk	grupo	alternativoj	prononco
level	kia	ਕਿਸ ਕਿਸਮ ਦਾ, ਕਿਸ ਕਿਸਮ ਦਾ	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	ਅਜਿਹੇ, ਉਸ ਕਿਸਮ ਦੀ, ਅਜਿਹੀ	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	ਮੁਸ਼ਕਿਲ ਨਾਲ, ਮੁਸ਼ਕਿਲ ਨਾਲ, ਡਰਾਉਣੇ	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	ਭੇਜਣ ਲਈ	to send	grupo	alternativoj	prononco
level	ĵus	ਬਸ (ਇੱਕ ਪਲ ਪਹਿਲਾਂ), ਹੁਣੇ	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(ਪਿਛੇਤਰ) ਜ਼ਰੂਰੀ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	ਬਾਹਰ ~	outside ~	grupo	alternativoj	prononco
level	ge-	(ਅਗੇਤਰ) ਦੋਵੇਂ ਲਿੰਗ, ਦੋਵੇਂ ਲਿੰਗ	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(ਪਿਛੇਤਰ) will, should, subjunctive	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	ਜਲਦੀ ਹੀ	soon	grupo	alternativoj	prononco
level	almenaŭ	ਘੱਟੋ ਘੱਟ, ਜੇ ਹੋਰ ਕੁਝ ਨਹੀਂ	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(ਪਿਛੇਤਰ) ਕੰਟੇਨਰ; ਦੇਸ਼	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	ਸਿੱਖਣ ਲਈ	to learn	grupo	alternativoj	prononco
level	ek-	(ਅਗੇਤਰ) ਸ਼ੁਰੂਆਤ; ਅਚਾਨਕ ਸ਼ੁਰੂ	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ਜੇਕਰ, ਬਸ਼ਰਤੇ ਕਿ	if, provided that	grupo	alternativoj	prononco
level	eĉ	ਵੀ	even	grupo	alternativoj	prononco
level	amo	ਇੱਕ ਪਿਆਰ	a love	grupo	alternativoj	prononco
level	jam	ਪਹਿਲਾਂ ਹੀ, ਇਸ ਲਈ ਜਲਦੀ, ਹੁਣ ਤੋਂ	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	ਇਥੇ! ਲੋ! ਦੇਖੋ	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	ਖਤਮ ਕਰਨ ਲਈ, ਖਤਮ ਕਰਨ ਲਈ, ਖਤਮ ਕਰਨ ਲਈ	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	ਇਸ ਲਈ, ਫਿਰ, ਇਸ ਲਈ	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ ਕਦੇ, (ਜੋ) ਕਦੇ, ਬਿਲਕੁਲ, - ਕਦੇ ਵੀ	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	ਆਸਾਨ, ਆਸਾਨ	easy, facile	grupo	alternativoj	prononco
level	re-	(ਅਗੇਤਰ) ਮੁੜ-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	ਵੱਡਾ, ਮਹਾਨ, ਵੱਡਾ	big, great, large	grupo	alternativoj	prononco
level	-ist-	(ਪਿਛੇਤਰ) ਪੇਸ਼ੇਵਰ	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) ~ ਦੇ ਕਾਰਨ, ~ ਦੇ ਕਾਰਨ	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(ਪਿਛੇਤਰ) ਨੇਤਾ, ਬੌਸ, ਮੁਖੀ, ਮੁਖੀ	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	ਕੀ	what	grupo	alternativoj	prononco
level	manĝi	ਖਾਣ ਲਈ	to eat	grupo	alternativoj	prononco
level	nenio	ਕੁਝ ਨਹੀਂ, ਕੁਝ ਨਹੀਂ, ਕੁਝ ਨਹੀਂ	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	ਨੌਜਵਾਨ	young	grupo	alternativoj	prononco
level	ĉio	ਸਭ ਕੁਝ	everything	grupo	alternativoj	prononco
level	riĉa	ਅਮੀਰ, ਅਮੀਰ, ਅਮੀਰ	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	ਉਹ ਚੀਜ਼, ਉਹ	that thing, that	grupo	alternativoj	prononco
level	konstrui	ਬਣਾਉਣ ਲਈ, ਬਣਾਉਣ ਲਈ	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(ਅਗੇਤਰ) ਮੁਖੀ, ਮੋਹਰੀ, ਮੁੱਖ	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) ਬਿਨਾ ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	~ (ਇਕੱਠੇ) ਨਾਲ (ਅਨੁਸਾਰ)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) ਨੂੰ ਛੱਡ ਕੇ ~, ਇਲਾਵਾ ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ਇੱਕ ਦੋਸਤ	a friend	grupo	alternativoj	prononco
level	kies	ਕਿਸ ਦਾ, ਕਿਸ ਦਾ, ਜਿਸ ਦਾ	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	~ (ਇੱਕ ਵਿਧੀ), ~ (ਇੱਕ ਟੂਲ) ਨਾਲ	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	ਵਿਰੁੱਧ ~	against ~	grupo	alternativoj	prononco
level	el ~	~ ਵਿੱਚੋਂ, ~ ਤੋਂ	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	ਅੱਜ	today	grupo	alternativoj	prononco
level	hieraŭ	ਕੱਲ੍ਹ	yesterday	grupo	alternativoj	prononco
level	nur	ਸਿਰਫ਼, ਸਿਰਫ਼, ਸਿਰਫ਼	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	ਮਦਦ ਕਰਨ ਲਈ, ਮਦਦ ਕਰਨ ਲਈ, ਮਦਦ ਕਰਨ ਲਈ	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(ਕਿਰਿਆ ਵਿਸ਼ੇਸ਼ਣ) ਦੂਰ, ਦੂਰ	(adverb)  far, away	grupo	alternativoj	prononco
