C.vi-vn content.tsv
Level	Esperanto	vi-vn	en-us	Grupo	Alternativoj	Pronoco
level	doni	cho	to give	grupo	alternativoj	prononco
level	mi	tôi, tôi	I, me	grupo	alternativoj	prononco
level	vi	Bạn	you	grupo	alternativoj	prononco
level	havi	có, mặc, mang theo, sở hữu	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	cô ấy	she	grupo	alternativoj	prononco
level	li	Anh ta	he	grupo	alternativoj	prononco
level	ili	họ	they	grupo	alternativoj	prononco
level	ĝi	Nó	it	grupo	alternativoj	prononco
level	oni	một, ai đó, ai đó	one, someone, somebody	grupo	alternativoj	prononco
level	ni	chúng tôi chúng ta	we, us	grupo	alternativoj	prononco
level	si	chính mình	oneself	grupo	alternativoj	prononco
level	mem	một mình	by oneself	grupo	alternativoj	prononco
level	ĝis ~	cho tới ~, cho đến ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	của ~	of ~	grupo	alternativoj	prononco
level	da ~	(nhiều) của ~, (nhiều) của ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<hậu tố>sự vật, biểu hiện cụ thể	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	gần, gần, sắp, gần đây	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<hậu tố>hành động lặp đi lặp lại, hành động lâu dài	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<hậu tố>thì hiện tại	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<hậu tố>thì quá khứ	<suffix> past tense	grupo	alternativoj	prononco
level	esti	được	to be	grupo	alternativoj	prononco
level	-os	<hậu tố>thì tương lai	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<giới từ>trước ~, trước ~	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	làm, làm	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<giới từ>cũng vậy	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	sau ~	after ~	grupo	alternativoj	prononco
level	mal-	<tiếp đầu ngữ>đối diện	<prefix> opposite	grupo	alternativoj	prononco
