C.ta content.tsv
Level	Esperanto	ta	en-us	Grupo	Alternativoj	Pronoco
level	doni	கொடுப்பதற்கு	to give	grupo	alternativoj	prononco
level	mi	நான், நான்	I, me	grupo	alternativoj	prononco
level	vi	நீ	you	grupo	alternativoj	prononco
level	havi	வேண்டும், அணிய, சுமக்க, சொந்தமாக	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	அவள்	she	grupo	alternativoj	prononco
level	li	அவர்	he	grupo	alternativoj	prononco
level	ili	அவர்கள்	they	grupo	alternativoj	prononco
level	ĝi	அது	it	grupo	alternativoj	prononco
level	oni	ஒன்று, யாரோ, யாரோ	one, someone, somebody	grupo	alternativoj	prononco
level	ni	நாங்கள், நாங்கள்	we, us	grupo	alternativoj	prononco
level	si	தன்னை	oneself	grupo	alternativoj	prononco
level	mem	தன்னால்	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ வரை, ~ வரை	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	இன் ~	of ~	grupo	alternativoj	prononco
level	da ~	(அதிகம்) ~, (பல) ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(பின்னொட்டு) விஷயம், உறுதியான வெளிப்பாடு	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	அருகில், அருகில், விரைவில், அருகில்	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(பின்னொட்டு) மீண்டும் மீண்டும் வரும் செயல், நீடித்த செயல்	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(பின்னொட்டு) நிகழ்காலம்	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(பின்னொட்டு) கடந்த காலம்	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	இருக்க வேண்டும்	to be	grupo	alternativoj	prononco
level	-os	(பின்னொட்டு) எதிர்கால காலம்	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) முன் ~, முன் ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	செய்ய, செய்ய	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(முன்மொழிவு) மேலும், கூட	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	பிறகு ~	after ~	grupo	alternativoj	prononco
level	mal-	(முன்னொட்டு) எதிர்	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(பின்னொட்டு) சில பண்புகளைக் கொண்ட ஒரு நபர்	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(பின்னொட்டு) பெண்	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(பின்னொட்டு) செயலில் உள்ளது, ~ing, யாரோ ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(பின்னொட்டு) செயலில் கடந்த, இருந்தது ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(பின்னொட்டு) செயலில் எதிர்காலம், ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	மற்றும்	and	grupo	alternativoj	prononco
level	aŭ	அல்லது	or	grupo	alternativoj	prononco
level	alta	உயரமான, உயரமான	high, tall	grupo	alternativoj	prononco
level	jes	ஆம்	yes	grupo	alternativoj	prononco
level	ne	இல்லை	not, no	grupo	alternativoj	prononco
level	tiom	அந்த அளவு, இவ்வளவு தொகை, அந்த அளவு	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	நல்ல	good	grupo	alternativoj	prononco
level	kiom	எவ்வளவு எத்தனை	how much, how many	grupo	alternativoj	prononco
level	ofte	அடிக்கடி, அடிக்கடி	often, frequently	grupo	alternativoj	prononco
level	iom	கொஞ்சம், மாறாக, சில, ஓரளவு	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	புதிய, நாவல்	new, novel	grupo	alternativoj	prononco
level	-at-	(பின்னொட்டு) செயலற்ற நிகழ்கால பங்கேற்பு	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(பின்னொட்டு) செயலற்ற கடந்த பங்கேற்பு	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(பின்னொட்டு) செயலற்ற எதிர்கால பங்கேற்பு	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	மிக, மிக, மிக	very, quite, very much	grupo	alternativoj	prononco
level	tro	மிக அதிகமாக, மிக அதிகமாக	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	இருப்பினும், இருப்பினும், ஆனால், இருப்பினும்	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	ஓ! ஹோ!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	என்று ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	ஏனெனில் ~	because ~	grupo	alternativoj	prononco
level	ĉu	என்பதை ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(பின்னொட்டு) இடம்	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(பின்னொட்டு) தரத்தின் சுருக்க பெயர்	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	இரண்டும் ~	both ~	grupo	alternativoj	prononco
level	tuj	உடனடியாக, உடனடியாக, உடனடியாக	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	~ என்பது போல்	as if ~	grupo	alternativoj	prononco
level	kiam	எப்பொழுது	when	grupo	alternativoj	prononco
level	silenti	அமைதியாக இருக்க வேண்டும், அமைதியாக இருக்க வேண்டும்	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ஒருபோதும், எந்த நேரத்திலும், எப்போதும் இல்லை	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	எனவே, அதனால்	therefore, so	grupo	alternativoj	prononco
level	kial	ஏன், எதற்காக	why, what for	grupo	alternativoj	prononco
level	kvankam	எனினும் ~, போது, எனினும்	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) at ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	மேலும்	more	grupo	alternativoj	prononco
level	plej	பெரும்பாலான	most	grupo	alternativoj	prononco
level	diri	சொல்ல, சொல்ல	to say, to tell	grupo	alternativoj	prononco
level	ol ~	விட ~	than ~	grupo	alternativoj	prononco
level	paroli	பேச, பேச	to speak, to talk	grupo	alternativoj	prononco
level	kia	என்ன வகையான, என்ன வகையான	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	அத்தகைய, அந்த வகையான, அத்தகைய ஒரு	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	அரிதாக, அரிதாக, அரிதாக	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	அனுப்ப	to send	grupo	alternativoj	prononco
level	ĵus	(ஒரு கணம் முன்பு), இப்போது தான்	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(பின்னொட்டு) கட்டாயம்	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	வெளியே ~	outside ~	grupo	alternativoj	prononco
level	ge-	(முன்னொட்டு) இரு பாலினம், இரு பாலினம்	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(பின்னொட்டு) would, should, subjunctive	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	விரைவில்	soon	grupo	alternativoj	prononco
level	almenaŭ	குறைந்தபட்சம், வேறு எதுவும் இல்லை என்றால்	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(பின்னொட்டு) கொள்கலன்; நாடு	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	கற்றுக்கொள்ள	to learn	grupo	alternativoj	prononco
level	ek-	(முன்னொட்டு) ஆரம்பம்; திடீர் ஆரம்பம்	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	என்றால், வழங்கினால்	if, provided that	grupo	alternativoj	prononco
level	eĉ	கூட	even	grupo	alternativoj	prononco
level	amo	காதல்	a love	grupo	alternativoj	prononco
level	jam	ஏற்கனவே, மிக விரைவில், இப்போதைக்கு	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	இங்கே! இதோ! இதோ	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	முடிவுக்கு, முடிக்க, முடிவுக்கு	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	எனவே, பின்னர், எனவே	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~எப்போதும், (என்ன) எப்போதும், அனைத்து, -எனவே	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	எளிதான, எளிதான	easy, facile	grupo	alternativoj	prononco
level	re-	(முன்னொட்டு) மறு-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	பெரிய, பெரிய, பெரிய	big, great, large	grupo	alternativoj	prononco
level	-ist-	(பின்னொட்டு) தொழில்முறை	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) ஏனெனில் ~, காரணமாக ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(பின்னொட்டு) தலைவர், முதலாளி, தலை, தலைவர்	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	என்ன	what	grupo	alternativoj	prononco
level	manĝi	சாப்பிடுவதற்கு	to eat	grupo	alternativoj	prononco
level	nenio	எதுவும் இல்லை, எதுவும் இல்லை	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	இளம்	young	grupo	alternativoj	prononco
level	ĉio	எல்லாம்	everything	grupo	alternativoj	prononco
level	riĉa	பணக்காரர், பணக்காரர், வசதி படைத்தவர்	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	அந்த விஷயம், அது	that thing, that	grupo	alternativoj	prononco
level	konstrui	கட்ட, கட்ட	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(முன்னொட்டு) தலைமை, முன்னணி, முக்கிய	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(முன்மொழிவு) ~ இல்லாமல்	(preposition)  without ~	grupo	alternativoj	prononco
