C.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	doni	at give	to give	grupo	alternativoj	prononco
level	mi	Jeg mig	I, me	grupo	alternativoj	prononco
level	vi	du	you	grupo	alternativoj	prononco
level	havi	at have, at bære, at bære, at eje	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	hun	she	grupo	alternativoj	prononco
level	li	han	he	grupo	alternativoj	prononco
level	ili	de	they	grupo	alternativoj	prononco
level	ĝi	det	it	grupo	alternativoj	prononco
level	oni	en, nogen, nogen	one, someone, somebody	grupo	alternativoj	prononco
level	ni	vi os	we, us	grupo	alternativoj	prononco
level	si	en selv	oneself	grupo	alternativoj	prononco
level	mem	af sig selv	by oneself	grupo	alternativoj	prononco
level	ĝis ~	op til ~, indtil ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	af ~	of ~	grupo	alternativoj	prononco
level	da ~	(meget) af ~, (mange) af ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffiks) ting, konkret manifestation	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	nær, tæt på, snart, i nærheden	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffiks) gentagen handling, varig handling	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffiks) nutid	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffiks) datid	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	at være	to be	grupo	alternativoj	prononco
level	-os	(suffiks) fremtidsform	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(præposition) før ~, foran ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	at lave, at gøre	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(præposition) også	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	efter ~	after ~	grupo	alternativoj	prononco
level	mal-	(præfiks) modsat	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffiks) en person af en eller anden egenskab	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(endelse) kvinde	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffiks) aktiv tilstedeværelse, er ~ing, nogen, der er ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffiks) aktiv fortid, var ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffiks) aktiv fremtid, vil være ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	og	and	grupo	alternativoj	prononco
level	aŭ	eller	or	grupo	alternativoj	prononco
level	alta	høj, høj	high, tall	grupo	alternativoj	prononco
level	jes	Ja	yes	grupo	alternativoj	prononco
level	ne	ikke, nej	not, no	grupo	alternativoj	prononco
level	tiom	så meget, sådan et beløb, det beløb	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	godt	good	grupo	alternativoj	prononco
level	kiom	hvor meget hvor mange	how much, how many	grupo	alternativoj	prononco
level	ofte	ofte, ofte	often, frequently	grupo	alternativoj	prononco
level	iom	lidt, snarere, noget, noget	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	ny, roman	new, novel	grupo	alternativoj	prononco
level	-at-	(suffiks) passivt nuværende participium	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffiks) passiv participium	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffiks) passiv fremtidig participium	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	meget, ganske, meget	very, quite, very much	grupo	alternativoj	prononco
level	tro	for, overdrevent, for meget	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	dog ikke desto mindre, men alligevel	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Åh! Hej!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	at ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	fordi ~	because ~	grupo	alternativoj	prononco
level	ĉu	om ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffiks) sted	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffiks) abstrakt navn på kvalitet	(suffix)  abstract name of quality	grupo	alternativoj	prononco
