A.ms content.tsv
Level	Esperanto	ms	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Saya awak	I, you	grupo	alternativoj	prononco
level	estas, estis	(sekarang) ialah, am, are (past) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	saya ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	awak ~	you are ~	grupo	alternativoj	prononco
level	saluton	hello	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hello, saya ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	saya, awak	my, your	grupo	alternativoj	prononco
level	nomo	Nama	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	nama saya, nama awak	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	nama saya ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	nama awak ialah ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(sekarang) buat, (dahulu) buat	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(sekarang) dahulu, adalah (masa depan) akan menjadi	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	nama, nama (objektif).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	cinta saya	my love	grupo	alternativoj	prononco
level	vi fartas	anda sedang lakukan ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	bagaimana	how	grupo	alternativoj	prononco
level	kiel vi fartas?	apa khabar?	how are you doing?	grupo	alternativoj	prononco
level	kio	apa	what	grupo	alternativoj	prononco
level	kio estas via nomo?	siapa nama awak	what is your name?	grupo	alternativoj	prononco
level	bona, bone	Semoga baik	good, well	grupo	alternativoj	prononco
level	fartas bone	sedang berjalan dengan baik	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	saya dalam keadaan baik	I am doing well	grupo	alternativoj	prononco
level	kaj	dan	and	grupo	alternativoj	prononco
level	bone, kaj vi?	baik dan awak?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	sehingga ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(sekarang) melihat, (masa lalu) melihat	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(lalu) melihat, (lalu) melihat lagi	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	melihat lagi, akan melihat lagi	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	melihat-lagi, melihat-lagi (objektif)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
