A.sl content.tsv
Level	Esperanto	sl	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Jaz ti	I, you	grupo	alternativoj	prononco
level	estas, estis	(sedanjost) je, sem, so (preteklost) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	jaz sem ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	ti si ~	you are ~	grupo	alternativoj	prononco
level	saluton	zdravo	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	zdravo, jaz sem ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	moj, tvoj	my, your	grupo	alternativoj	prononco
level	nomo	ime	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	moje ime, tvoje ime	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	moje ime je ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	tvoje ime je ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(sedanjost) naredi, (preteklost) naredil	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(sedanjost) je bil, bili (prihodnost) bodo	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ime, (objektivno) ime	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	moja ljubezen	my love	grupo	alternativoj	prononco
level	vi fartas	delaš ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	kako	how	grupo	alternativoj	prononco
level	kiel vi fartas?	kako si kaj	how are you doing?	grupo	alternativoj	prononco
level	kio	kaj	what	grupo	alternativoj	prononco
level	kio estas via nomo?	kako ti je ime	what is your name?	grupo	alternativoj	prononco
level	bona, bone	dobro, dobro	good, well	grupo	alternativoj	prononco
level	fartas bone	gre dobro	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	dobro mi gre	I am doing well	grupo	alternativoj	prononco
level	kaj	in	and	grupo	alternativoj	prononco
level	bone, kaj vi?	dobro in ti?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	dokler ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(sedanjost) vidi, (preteklost) videl	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(past) saw, (past) saw again	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	spet videl, spet bom videl	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	spet videti, spet videti (objektivno)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	se vidiva!	see you again!	grupo	alternativoj	prononco
level	dankon	Hvala vam	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	hvala in se vidimo spet!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	tebi, meni	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(sedanja) hvala, (pretekla) zahvala	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	cenim te	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	da, ne	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ja, hvala	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	poje, bo jedel	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	ne jem	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ne, ne jem	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	lepo, lepo	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	vredno (konec)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	cenjen, vreden zahvale	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	whole, kot celota	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	vse, (objektivno) vse	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	sploh ne, ni za kaj	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	popolnoma ne	totally no	grupo	alternativoj	prononco
