B.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Γειά σου!	hello!	grupo	alternativoj	prononco
level	mi estas ~	είμαι ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	ποιος είσαι?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	το όνομά μου είναι ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Χαίρομαι	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Κι εγώ χαίρομαι	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	έρχεται συχνά	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	σε αυτό το χορευτικό μέρος	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	έρχεστε συχνά σε αυτό το χορευτικό μέρος;	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	όχι εσύ?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ούτε εγώ	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ είναι ένα ενδιαφέρον όνομα	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	είναι?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	δεν είναι;	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	με ποιό τρόπο?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	σχετίζεται με το ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	σχετίζεται με την Εσπεράντο.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	τι;	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Δεν άκουσα καλά	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ είναι πολύ δυνατό	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	η μουσική είναι πολύ δυνατή	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Είπα ότι ~	I said that ~	grupo	alternativoj	prononco
