C.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	doni	geben	to give	grupo	alternativoj	prononco
level	mi	Ich, ich	I, me	grupo	alternativoj	prononco
level	vi	Du	you	grupo	alternativoj	prononco
level	havi	haben, tragen, tragen, besitzen	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	sie	she	grupo	alternativoj	prononco
level	li	Er	he	grupo	alternativoj	prononco
level	ili	Sie	they	grupo	alternativoj	prononco
level	ĝi	Es	it	grupo	alternativoj	prononco
level	oni	einer, jemand, jemand	one, someone, somebody	grupo	alternativoj	prononco
level	ni	wir uns	we, us	grupo	alternativoj	prononco
level	si	man selbst	oneself	grupo	alternativoj	prononco
level	mem	alleine	by oneself	grupo	alternativoj	prononco
level	ĝis ~	bis ~, bis ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	von ~	of ~	grupo	alternativoj	prononco
level	da ~	(viel) von ~, (viele) von ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(Suffix) Sache, konkrete Manifestation	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	in der Nähe, in der Nähe, bald, in der Nähe	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(Suffix) sich wiederholende Aktion, dauerhafte Aktion	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(Suffix) Präsens	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(Suffix) Vergangenheitsform	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	zu sein	to be	grupo	alternativoj	prononco
level	-os	(Suffix) Zukunftsform	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(Präposition) vor ~, vor ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	machen, machen	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(Präposition) auch, auch	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	nach ~	after ~	grupo	alternativoj	prononco
level	mal-	(Präfix) Gegenteil	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(Suffix) eine Person mit einer bestimmten Eigenschaft	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(Suffix) weiblich	(suffix)  female	grupo	alternativoj	prononco
