C.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	doni	لكي أعطي	to give	grupo	alternativoj	prononco
level	mi	أنا، أنا	I, me	grupo	alternativoj	prononco
level	vi	أنت	you	grupo	alternativoj	prononco
level	havi	أن تمتلك، أن ترتدي، أن تحمل، أن تمتلك	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	هي	she	grupo	alternativoj	prononco
level	li	هو	he	grupo	alternativoj	prononco
level	ili	هم	they	grupo	alternativoj	prononco
level	ĝi	هو - هي	it	grupo	alternativoj	prononco
level	oni	واحد، شخص ما، شخص ما	one, someone, somebody	grupo	alternativoj	prononco
level	ni	نحن بذاتنا نحن بأنفسنا	we, us	grupo	alternativoj	prononco
level	si	نفسه - ذاته	oneself	grupo	alternativoj	prononco
level	mem	بنفسه	by oneself	grupo	alternativoj	prononco
level	ĝis ~	حتى ~، حتى ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	من ~	of ~	grupo	alternativoj	prononco
level	da ~	(كثيرًا) من ~، (كثيرًا) من ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) الشيء، مظهر ملموس	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	قريب، قريب، قريب، قريب	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) عمل متكرر، عمل دائم	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) الزمن الحاضر	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) فعل ماضي	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	يكون	to be	grupo	alternativoj	prononco
level	-os	(suffix) زمن المستقبل	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) قبل ~، أمام ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	للقيام به	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) أيضا	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	بعد ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) عكس	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) شخص من بعض الصفات	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) أنثى	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) المضارع النشط، هو ~ing، شخص ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) الماضي النشط، كان ~ جي	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) المستقبل النشط، سوف يكون ~ جي	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	و	and	grupo	alternativoj	prononco
level	aŭ	أو	or	grupo	alternativoj	prononco
level	alta	ارتفاع طويل	high, tall	grupo	alternativoj	prononco
level	jes	نعم	yes	grupo	alternativoj	prononco
level	ne	لا، لا	not, no	grupo	alternativoj	prononco
level	tiom	هذا القدر، هذا المبلغ، هذا المبلغ	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	جيد	good	grupo	alternativoj	prononco
level	kiom	كم القيمة كم العدد	how much, how many	grupo	alternativoj	prononco
level	ofte	في كثير من الأحيان في كثير من الأحيان	often, frequently	grupo	alternativoj	prononco
level	iom	قليلا، بدلا من ذلك، بعض، إلى حد ما	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	جديدة، رواية	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) النعت السلبي	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) النعت الماضي السلبي	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) النعت المستقبل السلبي	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	جدا جدا جدا	very, quite, very much	grupo	alternativoj	prononco
level	tro	أكثر من اللازم، أكثر من اللازم	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	ومع ذلك، ومع ذلك، ولكن مع ذلك	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	أوه! هو!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	أن ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	لأن ~	because ~	grupo	alternativoj	prononco
level	ĉu	سواء ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) مكان	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) اسم مجردة للجودة	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	كلاهما ~	both ~	grupo	alternativoj	prononco
level	tuj	على الفور، على الفور، على الفور	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	كما لو ~	as if ~	grupo	alternativoj	prononco
level	kiam	متى	when	grupo	alternativoj	prononco
level	silenti	أن تكون صامتًا، أن تكون هادئًا	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	أبدا، في أي وقت من الأوقات، أبدا	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	لذلك، لذلك	therefore, so	grupo	alternativoj	prononco
level	kial	لماذا، لماذا	why, what for	grupo	alternativoj	prononco
level	kvankam	على الرغم من ~، في حين، على أية حال	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) في ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	أكثر	more	grupo	alternativoj	prononco
level	plej	معظم	most	grupo	alternativoj	prononco
level	diri	ليقول ليقول	to say, to tell	grupo	alternativoj	prononco
level	ol ~	من ~	than ~	grupo	alternativoj	prononco
level	paroli	للتحدث، للتحدث	to speak, to talk	grupo	alternativoj	prononco
level	kia	أي نوع من، أي نوع من	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	مثل هذا النوع من مثل هذا	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	بالكاد، بالكاد، نادرا	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	لترسل	to send	grupo	alternativoj	prononco
level	ĵus	فقط (منذ لحظة)، الآن	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) إلزامي	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	خارج ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) كلا الجنسين، كلا الجنسين	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) سوف، ينبغي، شرطي	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	قريباً	soon	grupo	alternativoj	prononco
level	almenaŭ	على الأقل، إذا لم يكن هناك شيء آخر	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	ديس-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) حاوية؛ دولة	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	ليتعلم	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) بداية؛ بداية مفاجئة	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	إذا بشرط ذلك	if, provided that	grupo	alternativoj	prononco
level	eĉ	حتى	even	grupo	alternativoj	prononco
level	amo	الحب	a love	grupo	alternativoj	prononco
level	jam	بالفعل، قريبًا جدًا، اعتبارًا من الآن	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	هنا! لو! هوذا	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	لإنهاء، لإنهاء، لإنهاء	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	إذن إذن	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~أبدًا، (ما) أبدًا، على الإطلاق، -أيًّا كان	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	سهل وسهل	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) يكرر-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	كبير، عظيم، كبير	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) احترافي	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) بسبب ~، بسبب ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) زعيم، رئيس، رئيس، رئيس	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	ماذا	what	grupo	alternativoj	prononco
level	manĝi	لتناول الطعام	to eat	grupo	alternativoj	prononco
level	nenio	لا شيء، لا شيء، ليس أي شيء	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	شاب	young	grupo	alternativoj	prononco
level	ĉio	كل شئ	everything	grupo	alternativoj	prononco
level	riĉa	غني، ثري، ميسوري الحال	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	هذا الشيء، ذلك	that thing, that	grupo	alternativoj	prononco
level	konstrui	لبناء، لبناء	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) رئيس، رائد، رئيسي	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) بدون ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) مع ~ (معا)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) باستثناء ~، إلى جانب ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	صديق	a friend	grupo	alternativoj	prononco
level	kies	الذي، أي واحد، الذي	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) بواسطة ~ (طريقة)، بواسطة ~ (أداة)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	ضد ~	against ~	grupo	alternativoj	prononco
level	el ~	من ~، من ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	اليوم	today	grupo	alternativoj	prononco
level	hieraŭ	أمس	yesterday	grupo	alternativoj	prononco
level	nur	فقط، فقط، حصرا	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	للمساعدة، للمساعدة، للمساعدة	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) بعيداً	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ولا لا	nor, neither	grupo	alternativoj	prononco
level	malamo	الكراهية	a hate	grupo	alternativoj	prononco
level	preskaŭ	تقريبا، تقريبا	almost, nearly	grupo	alternativoj	prononco
level	tra ~	من خلال ~	through ~	grupo	alternativoj	prononco
level	super	فوق، فوق	over, above	grupo	alternativoj	prononco
level	trans ~	على ~، عبر ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	حسنًا، حسنًا، الآن	well, well then, now	grupo	alternativoj	prononco
level	pri ~	حول ~	about ~	grupo	alternativoj	prononco
level	por ~	من أجل ~، من أجل ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	غداً	tomorrow	grupo	alternativoj	prononco
level	nun	الآن، في الوقت الحاضر	now, at present	grupo	alternativoj	prononco
level	laŭ ~	وفقا ل ~، على طول ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	كل، كل، كل، كل	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	من، الذي، أي واحد	who, which, which one	grupo	alternativoj	prononco
level	tiu	ذلك الشخص، ذلك ~، ذلك الشخص، هناك	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	شخص ما، شخص ما، بعض	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	لا أحد، لا أحد، لا	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	إلى ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~ قادر	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	ليأمل	to hope	grupo	alternativoj	prononco
level	unu	واحد	one	grupo	alternativoj	prononco
level	du	اثنين	two	grupo	alternativoj	prononco
level	tri	ثلاثة	three	grupo	alternativoj	prononco
level	kvar	أربعة	four	grupo	alternativoj	prononco
level	kvin	خمسة	five	grupo	alternativoj	prononco
level	ses	ستة	six	grupo	alternativoj	prononco
level	sep	سبعة	seven	grupo	alternativoj	prononco
level	ok	ثمانية	eight	grupo	alternativoj	prononco
level	naŭ	تسع	nine	grupo	alternativoj	prononco
level	dek	عشرة	ten	grupo	alternativoj	prononco
level	cent	مائة	a hundred	grupo	alternativoj	prononco
level	mil	ألف	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) للتعدد، -oble، -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~ال، الكسر	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	من الحب	of love	grupo	alternativoj	prononco
level	anstataŭ ~	بدلاً من ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) يصبح	(suffix)  become	grupo	alternativoj	prononco
level	voli	أن تريد، أن ترغب، أن تكون على استعداد ل	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) سبب لتصبح	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	للمتابعة	to follow	grupo	alternativoj	prononco
level	ĝoje	بكل سرور	gladly	grupo	alternativoj	prononco
level	legi	ليقرأ	to read	grupo	alternativoj	prononco
level	silenta	صامتة	silent	grupo	alternativoj	prononco
level	la	ال	the	grupo	alternativoj	prononco
level	ha!	ها!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) أداة، طريقة	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	للشرب (غير الكحول)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) صغير، قليل	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) كبيرة، كبيرة	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) بين ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) السلوك ذو الصلة	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) مجموعة، مجموعة	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) عضو في مجموعة	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	لأشكر	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) جدير بالاهتمام، جدير	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	بل وأكثر، وأكثر، وهكذا، أكثر	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	كيف، مثل، بأي طريقة، مثل	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	هكذا، بهذه الطريقة، هكذا	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) في ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) بجانب ~، بجانب ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) تحت، تحت~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) على ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) الإعدادية غير المحددة، في، في، بواسطة، على	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) لا يزال حتى الآن	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) حول ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	لكن	but	grupo	alternativoj	prononco
level	ie	مكان ما	somewhere	grupo	alternativoj	prononco
level	kie	أين وفي أي مكان	where, at what place	grupo	alternativoj	prononco
level	silente	بصمت	silently	grupo	alternativoj	prononco
level	ĉie	في كل مكان، في كل مكان	everywhere, all about	grupo	alternativoj	prononco
level	nenie	في أي مكان، في أي حال، ليس في أي مكان	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	هناك، هناك، هناك	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	هذا ~	this ~	grupo	alternativoj	prononco
level	kanti	ليغني	to sing	grupo	alternativoj	prononco
level	morti	للموت، للرحيل	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) أثناء ~، بينما ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	أمة	a nation	grupo	alternativoj	prononco
level	koni	أن تعرف (شخصًا) ، أن تتعرف عليه	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	أن تعرف (حقيقة، معرفة)، أن تعرف كيف	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	دائما وابدا	always, ever	grupo	alternativoj	prononco
level	iam	في وقت ما، مرة واحدة	at some time, once	grupo	alternativoj	prononco
level	tiam	ثم	then	grupo	alternativoj	prononco
level	-em-	(suffix) الميل	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	نوعا ما	some kind of	grupo	alternativoj	prononco
level	sukcesi	كي تنجح	to succeed	grupo	alternativoj	prononco
level	ĉia	من كل نوع، من كل نوع	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	لا، ليس أي نوع من، وليس أي	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) النسل	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	غرفة، غرفة	a room, a chamber	grupo	alternativoj	prononco
level	patro	أب	a father	grupo	alternativoj	prononco
level	porko	خنزير، خنزير	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -صهر، بالزواج	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	بالفعل	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	شئ ما	something	grupo	alternativoj	prononco
level	veturi	يقود (مركبة)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ديك، دجاجة، دجاج، طير	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	حر	free	grupo	alternativoj	prononco
level	lasta	آخر	last	grupo	alternativoj	prononco
level	ĝoji	أن نفرح، أن نكون سعداء، للاستمتاع	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	ليأخذ، ليمسك	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	بقرة، ثور، حيوان بقري	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	آخر، آخر، آخر	another, other, else	grupo	alternativoj	prononco
level	varma	حار ودافئ	hot, warm	grupo	alternativoj	prononco
level	loĝi	يسكن، يسكن، يسكن، يسكن	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	لتصدق	to believe	grupo	alternativoj	prononco
level	glacio	لطيف	an ice	grupo	alternativoj	prononco
level	loko	مكان، موقع	a place, a location	grupo	alternativoj	prononco
level	ovo	بيضة	an egg	grupo	alternativoj	prononco
level	multa	الكثير والكثير والكثير	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	حيازة	a possession	grupo	alternativoj	prononco
level	ŝafo	خروف	a sheep	grupo	alternativoj	prononco
level	sono	صوت	a sound	grupo	alternativoj	prononco
level	fiŝo	سمكة	a fish	grupo	alternativoj	prononco
level	bela	جميلة، وسيم، جميلة	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	للإجابة، للرد، للرد	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	مناسبة، وقت	an occasion, a time	grupo	alternativoj	prononco
level	demandi	يسأل	to ask	grupo	alternativoj	prononco
level	forta	قوي	strong	grupo	alternativoj	prononco
level	preter ~	ما بعد ~، الماضي ~، الماضي المستقيم	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	صمت	a silence	grupo	alternativoj	prononco
level	infano	طفل، رضيع	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	سعيد، محظوظ، محظوظ	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	للقبض، لالتقاط، للتصارع	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	للرغبة، للرغبة	to desire, to wish	grupo	alternativoj	prononco
level	longa	طويل	long	grupo	alternativoj	prononco
level	mondo	عالم	a world	grupo	alternativoj	prononco
level	okazi	أن يحدث، أن يحدث، أن يحدث	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	حقل، حقل	field, a field	grupo	alternativoj	prononco
level	filo	ابن	a son	grupo	alternativoj	prononco
level	montri	للإشارة، للإشارة، للإشارة	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	قلب	a heart	grupo	alternativoj	prononco
level	knabo	صبي	a boy	grupo	alternativoj	prononco
level	meti	يضع، يضع، يضع	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	زوج	a husband	grupo	alternativoj	prononco
level	pako	طَرد	package	grupo	alternativoj	prononco
level	rapida	سريع، سريع، سريع	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	على ما يبدو، على ما يبدو	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	تحية، تحية، تحية	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	لأكتب	to write	grupo	alternativoj	prononco
level	peti	أن يسأل، أن يسأل، أن يطلب، أن يتوسل	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	للطيران	to fly	grupo	alternativoj	prononco
level	kapo	الرأس والرأس	a head, a cape	grupo	alternativoj	prononco
level	krii	أن تصرخ، أن تبكي، أن تصرخ، أن تصرخ	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	أحمر	red	grupo	alternativoj	prononco
level	sinjoro	سيد، رجل نبيل	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	للتمسك، للتشبث	to hold, to hang onto	grupo	alternativoj	prononco
