A.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Jag du	I, you	grupo	alternativoj	prononco
level	estas, estis	(nuvarande) är, är, är (förflutna) var, var	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	jag är ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	du är ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hallå	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hej, jag är ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	min din	my, your	grupo	alternativoj	prononco
level	nomo	ett namn	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mitt namn, ditt namn	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mitt namn är ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	ditt namn är ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(nuvarande) gör, (förflutna) gjorde	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(nuvarande) var, var (framtid) kommer att vara	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ett namn, ett (objektivt) namn	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	min kärlek	my love	grupo	alternativoj	prononco
level	vi fartas	du gör ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	hur	how	grupo	alternativoj	prononco
level	kiel vi fartas?	hur mår du?	how are you doing?	grupo	alternativoj	prononco
level	kio	Vad	what	grupo	alternativoj	prononco
level	kio estas via nomo?	vad heter du?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bra, väl	good, well	grupo	alternativoj	prononco
level	fartas bone	mår bra	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	jag mår bra	I am doing well	grupo	alternativoj	prononco
level	kaj	och	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bra och du?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	tills ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(nuvarande) ser, (förr) såg	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(förbi) såg, (förbi) såg igen	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	såg igen, kommer att se igen	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	se-igen, se-igen (objektiv)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	vi ses!	see you again!	grupo	alternativoj	prononco
level	dankon	tack	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	tack och vi ses igen!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	till ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	till dig, till mig	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(nuvarande) tack, (förflutna) tackade	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Jag uppskattar till dig	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Ja Nej	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ja, tänk dig	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	äter, kommer att äta	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Jag äter inte	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nej, jag äter inte	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	vackert, vackert	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	värt (slut)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	uppskattande, värt att tacka	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	helhet, som helhet	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	alla, (objektiva) alla	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	inte alls, du är välkommen	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	helt nej	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	att förlåta, en förlåtande	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	en förlåtelse för mig	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Jag är ledsen! (Ursäkta mig)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Jag är ledsen, snälla	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	en god morgon	a good morning	grupo	alternativoj	prononco
level	bonan matenon	god morgon	good morning	grupo	alternativoj	prononco
level	bonan nokton	godnatt	good night	grupo	alternativoj	prononco
level	bonan sonĝon	söt dröm	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(ha) en bra resa till dig	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	God dag!	good day!	grupo	alternativoj	prononco
level	ĉu ~	är det ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	mår du bra? (Hur mår du?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Ja jag mår bra	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nej inte alls	no, not at all	grupo	alternativoj	prononco
level	tre, tro	väldigt, för mycket	very, too much	grupo	alternativoj	prononco
level	granda, grande	stort, till stor del	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	Mycket bra, för stort	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	det går bra för dig	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	inte så bra	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	att lära, ett lärande	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	tittar, en åskådare	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	är lärande, en student (en lärande person)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	är -ing, en person som gör	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	en elev, en person som har lärt sig	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Jag är student.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ är min vän	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	han Hon	he, she	grupo	alternativoj	prononco
level	sidi, sidas	att sitta, sitter	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sitter, satt, kommer att sitta	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	han sitter och hon lär sig	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ett rum	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	lär sig i ett rum	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	en student och en idrottsman	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport och en idrottsman	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	en idrottsman idrottar	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	Han är en student	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	han är student och sportman	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	han sitter nu	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	och håller på att lära sig nu	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sitter och lär sig	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nu i ett rum	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	ligger på ett bord	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ett papper och papper	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ett bord och bord	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	en bok och böcker	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	tidningarna och böckerna	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	den ligger på ett bord.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	skriver på ett skrivbord	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	böckerna är ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	på bordet	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	en lärobok och läroböckerna	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	på bordet finns ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	en pappa och en mamma	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	fadern och modern	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mamman till min vän	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	i rummet	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	är inte i rummet	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	de arbetar nu	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	hans far är arbetare	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	han arbetar på ett hotell	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	mamman undervisar	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	hon är lärare	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	är hon en mamma?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nej, hon är hotellägare	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nej, jag jobbar inte	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	vad heter hon?	what is her name?	grupo	alternativoj	prononco
