C.sk content.tsv
Level	Esperanto	sk	en-us	Grupo	Alternativoj	Pronoco
level	doni	dať	to give	grupo	alternativoj	prononco
level	mi	ja, ja	I, me	grupo	alternativoj	prononco
level	vi	vy	you	grupo	alternativoj	prononco
level	havi	mať, nosiť, nosiť, vlastniť	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ona	she	grupo	alternativoj	prononco
level	li	on	he	grupo	alternativoj	prononco
level	ili	oni	they	grupo	alternativoj	prononco
level	ĝi	to	it	grupo	alternativoj	prononco
level	oni	jeden, niekto, niekto	one, someone, somebody	grupo	alternativoj	prononco
level	ni	my nás	we, us	grupo	alternativoj	prononco
level	si	seba samého	oneself	grupo	alternativoj	prononco
level	mem	sám	by oneself	grupo	alternativoj	prononco
level	ĝis ~	až ~, až ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	z ~	of ~	grupo	alternativoj	prononco
level	da ~	(veľa) z ~, (veľa) z ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(prípona) vec, konkrétny prejav	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	blízko, blízko, čoskoro, blízko	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(prípona) opakujúca sa činnosť, trvalá činnosť	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(prípona) prítomný čas	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(prípona) minulý čas	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	byť	to be	grupo	alternativoj	prononco
level	-os	(prípona) budúci čas	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(predložka) pred ~, pred ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	robiť, robiť	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(predložka) tiež tiež	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	po ~	after ~	grupo	alternativoj	prononco
level	mal-	(predpona) opak	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(prípona) osoba nejakej vlastnosti	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(prípona) ženský	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(prípona) činný prítomný, je ~ing, niekto, kto je ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(prípona) aktívna minulosť, bol ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(prípona) aktívna budúcnosť, bude ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	a	and	grupo	alternativoj	prononco
level	aŭ	alebo	or	grupo	alternativoj	prononco
level	alta	vysoký, vysoký	high, tall	grupo	alternativoj	prononco
level	jes	Áno	yes	grupo	alternativoj	prononco
level	ne	nie, nie	not, no	grupo	alternativoj	prononco
level	tiom	toľko, také množstvo, také množstvo	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	dobre	good	grupo	alternativoj	prononco
level	kiom	koľko koľko	how much, how many	grupo	alternativoj	prononco
level	ofte	často, často	often, frequently	grupo	alternativoj	prononco
level	iom	trochu, skôr trochu, trochu	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nový, román	new, novel	grupo	alternativoj	prononco
level	-at-	(prípona) trpné prítomné príčastie	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(prípona) pasívne minulé príčastie	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(prípona) trpné budúce príčastie	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	veľmi, celkom, veľmi	very, quite, very much	grupo	alternativoj	prononco
level	tro	príliš, príliš, príliš veľa	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	však predsa, ale predsa	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ahoj!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	že ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	pretože ~	because ~	grupo	alternativoj	prononco
level	ĉu	či ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(prípona) miesto	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(prípona) abstraktný názov kvality	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	obaja ~	both ~	grupo	alternativoj	prononco
level	tuj	okamžite, okamžite, okamžite	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	ako keby ~	as if ~	grupo	alternativoj	prononco
level	kiam	kedy	when	grupo	alternativoj	prononco
level	silenti	mlčať, mlčať	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nikdy, nikdy, nikdy	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	teda tak	therefore, so	grupo	alternativoj	prononco
level	kial	prečo, načo	why, what for	grupo	alternativoj	prononco
level	kvankam	hoci ~, kým, hoci	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(predložka) pri ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	viac	more	grupo	alternativoj	prononco
level	plej	najviac	most	grupo	alternativoj	prononco
level	diri	povedať, povedať	to say, to tell	grupo	alternativoj	prononco
level	ol ~	než ~	than ~	grupo	alternativoj	prononco
level	paroli	hovoriť, hovoriť	to speak, to talk	grupo	alternativoj	prononco
level	kia	aký, aký	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	taký, taký, taký a	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	sotva, sotva, strastiplne	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	poslať	to send	grupo	alternativoj	prononco
level	ĵus	práve (pred chvíľou), práve teraz	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(prípona) imperatív	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	vonku ~	outside ~	grupo	alternativoj	prononco
