A.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Minä sinä	I, you	grupo	alternativoj	prononco
level	estas, estis	(nykyisyys) on, olen, ovat (menneisyys) oli, olivat	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Olen ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	olet ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hei	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hei, olen ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	minun sinun	my, your	grupo	alternativoj	prononco
level	nomo	nimi	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	minun nimeni, sinun nimesi	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	nimeni on ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	nimesi on ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(nykyinen) tekee, (menneisyys) teki	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(nykyinen) oli, oli (tulevaisuus) tulee olemaan	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	nimi, (objektiivinen) nimi	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	rakkaani	my love	grupo	alternativoj	prononco
level	vi fartas	teet ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Miten	how	grupo	alternativoj	prononco
level	kiel vi fartas?	miten menee?	how are you doing?	grupo	alternativoj	prononco
level	kio	mitä	what	grupo	alternativoj	prononco
level	kio estas via nomo?	mikä sinun nimesi on?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	hyvä kaivo	good, well	grupo	alternativoj	prononco
level	fartas bone	voi hyvin	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	minä voin hyvin	I am doing well	grupo	alternativoj	prononco
level	kaj	ja	and	grupo	alternativoj	prononco
level	bone, kaj vi?	hyvin ja sinä?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ asti	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(nykyinen) näkee, (menneisyys) näkee	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(menneisyys) näki, (menneisyys) näki uudelleen	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	näki uudestaan, nähdään taas	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	nähdä-uudelleen, nähdä-uudelleen (tavoite)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	nähdään taas!	see you again!	grupo	alternativoj	prononco
level	dankon	Kiitos	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	kiitos ja nähdään taas!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	sinulle, minulle	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(nykyinen) kiitos, (menneisyys) kiitti	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	arvostan sinua	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	kyllä ei	yes, no	grupo	alternativoj	prononco
level	jes, dankon	kyllä, kiitos sinulle	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	syö, tulee syömään	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	En syö	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ei, en syö	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	kaunis, kauniisti	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	kannattava (loppu)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	arvostettava, kiitoksen arvoinen	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	kokonaisuutena, kokonaisuutena	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	kaikki, (objektiivinen) kaikki	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	ei ollenkaan, tervetuloa	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	täysin ei	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	antaa anteeksi, anteeksiantava	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	anteeksianto minulle	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Olen pahoillani! (anteeksi kuinka)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Olen pahoillani, kiitos	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	hyvää huomenta	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Hyvää huomenta	good morning	grupo	alternativoj	prononco
level	bonan nokton	hyvää yötä	good night	grupo	alternativoj	prononco
level	bonan sonĝon	kauniita unia	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	() hyvää matkaa sinulle	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	hyvää päivää!	good day!	grupo	alternativoj	prononco
level	ĉu ~	onko se ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	Voitko hyvin? (mitä kuuluu?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	kyllä, voin hyvin	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ei, ei ollenkaan	no, not at all	grupo	alternativoj	prononco
level	tre, tro	hyvin, liikaa	very, too much	grupo	alternativoj	prononco
level	granda, grande	iso, suurelta osin	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	erittäin hyvä, liian iso	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	sinulla menee erittäin hyvin	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ei kovin hyvin	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	oppia, oppia	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	katsoo, katsoja	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	on oppiva, opiskelija (oppiva henkilö)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	on -ing, henkilö, joka tekee	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	opiskelija, ihminen, joka on oppinut	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Olen opiskelija.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ on ystäväni	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	hän hän	he, she	grupo	alternativoj	prononco
level	sidi, sidas	istua, istua	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	istuu, istui, istuu	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	hän istuu ja hän oppii	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	huone	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	oppii huoneessa	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	opiskelija ja urheilija	a student and a sportsman	grupo	alternativoj	prononco
