A.ne content.tsv
Level	Esperanto	ne	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	म तीमी	I, you	grupo	alternativoj	prononco
level	estas, estis	(वर्तमान) is, am, are (भूत) थियो, थियो	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	म ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	तपाईं ~ हुनुहुन्छ	you are ~	grupo	alternativoj	prononco
level	saluton	नमस्कार	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	नमस्ते, म हुँ	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	मेरो, तिम्रो	my, your	grupo	alternativoj	prononco
level	nomo	एउटा नाम	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	मेरो नाम, तिम्रो नाम	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	मेरो नाम ~ हो	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	तिम्रो नाम ~ हो	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(वर्तमान) गर्छ, (विगत) गर्छ	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(वर्तमान) थियो, थियो (भविष्य) हुनेछ	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	एक नाम, एक (उद्देश्य) नाम	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	मेरो प्यार	my love	grupo	alternativoj	prononco
level	vi fartas	तपाईं गर्दै हुनुहुन्छ ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	कसरी	how	grupo	alternativoj	prononco
level	kiel vi fartas?	तपाईलाई कस्तो छ?	how are you doing?	grupo	alternativoj	prononco
level	kio	के	what	grupo	alternativoj	prononco
level	kio estas via nomo?	तिम्रो नाम के हो?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	राम्रो, राम्रो	good, well	grupo	alternativoj	prononco
level	fartas bone	राम्रो गरिरहेको छ	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	म राम्रो गरिरहेको छु	I am doing well	grupo	alternativoj	prononco
level	kaj	र	and	grupo	alternativoj	prononco
level	bone, kaj vi?	सन्चै अनि तिमि?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ सम्म	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(वर्तमान) देख्छ, (विगत) देख्छ	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(विगत) देख्यो, (विगत) फेरि देख्यो	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	फेरि देख्यो, फेरि देख्नेछ	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	फेरि देख्नु, फेरि देख्नु (उद्देश्य)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	फेरि भेटौला!	see you again!	grupo	alternativoj	prononco
level	dankon	धन्यवाद	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	धन्यवाद र फेरि भेटौंला!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	को ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	तिमीलाई, मलाई	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(वर्तमान) धन्यवाद, (विगत) धन्यवाद	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	म तपाईंलाई कदर गर्छु	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	हो होइन	yes, no	grupo	alternativoj	prononco
level	jes, dankon	हो, तपाईलाई थाहा छ	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	खान्छ, खान्छ	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	म खान्न	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	होइन, म खाँदिन	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	सुन्दर, सुन्दर	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	सार्थक (समाप्त)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	सराहनीय, धन्यवाद दिन सार्थक	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	सम्पूर्ण, समग्र रूपमा	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	सबै, (उद्देश्य) सबै	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	होइन, तपाईलाई स्वागत छ	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	पूर्ण रूपमा छैन	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	क्षमा गर्न, एक क्षमा	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	मलाई एक क्षमा	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	मलाई माफ गरिदेउ! (मलाई माफ गर्नुहोस्)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	मलाई माफ गर्नुहोस्, कृपया	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	शुभ बिहानी	a good morning	grupo	alternativoj	prononco
level	bonan matenon	शुभ - प्रभात	good morning	grupo	alternativoj	prononco
level	bonan nokton	शुभ रात्री	good night	grupo	alternativoj	prononco
level	bonan sonĝon	राम्रो सपना	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(तपाईको लागि) राम्रो यात्रा	(have) a good trip, to you	grupo	alternativoj	prononco
