A.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	mi, vi	I, you	grupo	alternativoj	prononco
level	estas, estis	estas, estis	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	mi estas ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	vi estas ~	you are ~	grupo	alternativoj	prononco
level	saluton	saluton	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	saluton, mi estas ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mia, via	my, your	grupo	alternativoj	prononco
level	nomo	nomo	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mia nomo, via nomo	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mia nomo estas ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	via nomo estas ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	fartas, fartis	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	estis, estos	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	nomo, nomon	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	mia amo	my love	grupo	alternativoj	prononco
level	vi fartas	vi fartas	you are doing ~	grupo	alternativoj	prononco
level	kiel	kiel	how	grupo	alternativoj	prononco
level	kiel vi fartas?	kiel vi fartas?	how are you doing?	grupo	alternativoj	prononco
level	kio	kio	what	grupo	alternativoj	prononco
level	kio estas via nomo?	kio estas via nomo?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bona, bone	good, well	grupo	alternativoj	prononco
level	fartas bone	fartas bone	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	mi fartas bone	I am doing well	grupo	alternativoj	prononco
level	kaj	kaj	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bone, kaj vi?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	ĝis ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	vidas, vidis	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	vidis, revidis	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	revidis, revidos	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	revido, revidon	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ĝis revido!	see you again!	grupo	alternativoj	prononco
level	dankon	dankon	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	dankon kaj ĝis revido!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	al ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	al vi, al mi	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	dankas, dankis	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	mi dankas al vi	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	jes, ne	yes, no	grupo	alternativoj	prononco
level	jes, dankon	jes, dankon	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	manĝas, manĝos	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	mi ne manĝas	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ne, mi ne manĝas	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	bela, bele	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	-inda	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	dankinda, dankinde	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	tuta, tute	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	tuto, tuton	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	nedankinde	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	tute ne	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	pardoni ~, pardono	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	pardonon al mi	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	pardonon	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	pardonon, mi petas	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	bona mateno	a good morning	grupo	alternativoj	prononco
level	bonan matenon	bonan matenon	good morning	grupo	alternativoj	prononco
level	bonan nokton	bonan nokton	good night	grupo	alternativoj	prononco
level	bonan sonĝon	bonan sonĝon	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	bonan vojaĝon, al vi	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	bonan tagon	good day!	grupo	alternativoj	prononco
level	ĉu ~	ĉu ~	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	ĉu vi fartas bone?	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	jes, mi fartas bone	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ne, tute ne	no, not at all	grupo	alternativoj	prononco
level	tre, tro	tre, tro	very, too much	grupo	alternativoj	prononco
level	granda, grande	granda, grande	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	tre bona, tro granda	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	vi tre bone fartas	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ne tre bone	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	lerni ~, lerno	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	vidanta, vidanto	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	lernanta, lernanto	is learning, a student (a learning person)	grupo	alternativoj	prononco
