#language_name	ko-kr	en-us	ja-jp	vi-vn	zh-cn	zh-tw
name	Esperanto A (Memlingo 에스페란토)	Esperanto A (Memlingo)	Esperanto A (エスペラント)	Esperanto A (Tiếng Tây Ban Nha)	Esperanto A (Memlingo 世界语)	Esperanto A (Memlingo 世界語)
description	에스페란토 초급코스입니다. 이 코스를 마치면 기본적인 자기 자기소개 및 친구 사귀기에 필요한 회화를 할 수 있게 될 것입니다. 이 코스는 유명한 자그레브 코스(Zagreba Kurso)를 기반으로 만들어져 있습니다. 	It is a course for beginners. After this course, you can present yourself and you can make friends by most useful expressions with people from all over the world. This course is based on the famous 'Zagreb Course'.	<font color=red>自動翻訳のためにエラーがあります。</font>エスペラント初級コースです。 このコースを終えると、基本的な自己紹介や友達作りに必要な会話ができるようになるでしょう。 このコースは有名なザグレブコース(Zagreba Kurso)をベースに作られています。<font color=red>校正作業に参加したい場合は、memlingo.service@gmail.com にメールを送ってください。</font>	<font color=red>Có lỗi do dịch tự động.</font>Đây là khóa học sơ cấp của Esperanto. Sau khi kết thúc khóa học này, bạn sẽ có thể giới thiệu bản thân cơ bản và hội thoại cần thiết để kết bạn. Khóa học này dựa trên khóa học Zagreba Kurso nổi tiếng. <font color=red>Nếu muốn chỉnh sửa tiếng Việt xin vui lòng gửi mail đến memlingo.service@gmail.com </font>	<font color=red>是自动翻译。 存在错误。</font>这是世界语初级路线。 完成这个路线后，就可以进行基本的自我介绍和交朋友所需的会话。 这条路线是以著名的萨格勒布路线(Zagreba Kurso)为基础建造的。<font color=red>如果您想帮助修改中文，请发送邮件到 memlingo.service@gmail.com </font>	<font color=red>因爲自動翻譯有錯誤。</font>這是世界語初級路線。 完成這個路線後，就可以進行基本的自我介紹和交朋友所需的會話。 這條路線是以著名的薩格勒布路線(Zagreba Kurso)爲基礎建造的。<font color=red>要參加漢語教學，請發郵件到 memlingo.service@gmail.com 。</font>
short_description	초급 에스페란토 코스, 에스페란토 기초, Baza Esperanto, 자그레브 코스, Zagreba Kurso	Basic Esperanto Course, Esperanto ABC, Zagreb Course, Memlingo	初級エスペラントコース、エスペラント基礎、Baza Esperanto、ザグレブコース、Zagreba Kurso	Khóa học sơ cấp Esperanto, cơ sở Esperanto, Baza Esperanto, khóa học Zagreba Kurso.	初级世界语路线、世界语基础、Baza Esperanto、萨格勒布路线、Zagreba Kurso	初級世界語路線、世界語基礎、Baza Esperanto、薩格勒布路線、Zagreba Kurso
tags	에스페란토, Esperanto, Zagreba Kurso	Esperanto, Zagreb Course, Memlingo	エスペラント、Esperanto、Zagreba Kurso	Esperanto, Esperanto, Zagreba Kurso	世界语、 Esperanto、 Zagreba Kurso	世界語、 Esperanto、 Zagreba Kurso
source	8					
target	34					
audio_mode	on					
base_url	https://www.memrise.com/course/5699033/					
course_status	3					
#language_code	Chinese(Mandarin) ZH-CN 547, Taiwan ZH-TW 550, English (British) EN-GB 6, English (USA) EN-US 963, French FR 2, German DE 4, Hindi HI 22, Japanese JA 665, Thai TH 441, Vietnamese VI 474, Korean KO 8, Esperanto EO 34, Spanish (Spain) ES-ES 3, Russian RU 10, Italian IT 5, Indonesian ID 25, Mongolian MN 322, Khmer KM-KH 122, Malay MS-MY 297, Nepali NE 336, Tagalog TL 430, Persian (Iran) FA 706, Hebrew HE-IL 21, Arabian AR-SA 679					
						
