B.id content.tsv
Level	Esperanto	id	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Halo!	hello!	grupo	alternativoj	prononco
level	mi estas ~	saya ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	siapa kamu?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	namaku ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	saya senang	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Saya juga senang	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	sering datang	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ke tempat menari ini	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	apakah kamu sering datang ke tempat dansa ini?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	tidak, kan?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	aku juga tidak	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ adalah nama yang menarik	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	Apakah itu?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	bukan?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	dengan cara apa?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	terkait dengan ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	itu terkait dengan Esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Apa?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Saya tidak mendengar dengan baik	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ terlalu keras	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	musiknya terlalu keras	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Aku mengatakan itu ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Saya bilang nama Anda ada hubungannya dengan Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Sungguh?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	sebuah berita untukku	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	itu berita bagiku	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	pernahkah kamu mendengar tentang ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	pernahkah kamu mendengar tentang Esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Aku tidak tahu itu ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	tapi aku tidak tahu kalau namaku ada hubungannya dengan itu	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	nyatanya	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	bagaimana ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	bagaimana hubungannya?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	itu cerita yang panjang	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	akan memberitahumu	will tell you	grupo	alternativoj	prononco
level	se vi volas	jika kamu mau	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Aku akan memberitahumu nanti, jika kamu mau	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	di tempat ini (di lokasi ini)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	terlalu bising	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	di tempat ini, terlalu banyak kebisingan	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ya kau benar	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	bisakah kita berdansa?	shall we dance?	grupo	alternativoj	prononco
