B.nl content.tsv
Level	Esperanto	nl	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Hallo!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Ik ben ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	wie ben je?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mijn naam is ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ik ben blij	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Ik ben ook blij	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	komt vaak	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	naar deze dansplaats	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	kom je vaak naar deze dansplek?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	Nee, jij wel?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ik ook niet	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ is een interessante naam	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	is het?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	nietwaar?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	op welke manier?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	heeft betrekking op ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	het is gerelateerd aan Esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Wat?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Ik hoorde het niet goed	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ is te luid	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	de muziek is te hard	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Ik zei dat ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Ik zei dat uw naam verband houdt met Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Echt?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	een nieuwtje voor mij	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	dat is nieuws voor mij	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	heb je gehoord van ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	Heb je van Esperanto gehoord?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Dat wist ik niet~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	maar ik wist niet dat mijn naam daarmee verband houdt	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	in werkelijkheid	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	hoe gaat het met ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	hoe is de relatie?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	dat is een lang verhaal	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	zal je vertellen	will tell you	grupo	alternativoj	prononco
level	se vi volas	als je wil	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Als je wilt, vertel ik het je later wel	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	op deze plaats (op deze locatie)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	teveel lawaai	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	Op deze plek is er te veel lawaai	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Ja je hebt gelijk	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	zullen we dansen?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	goed idee!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	bedankt voor een gezellige avond	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	jij ook bedankt)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	het was heel goed	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	een muziek is een lust voor ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	de muziek beviel mij zeer goed	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	ook voor mij	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dansen is erg grappig	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	om met je te dansen	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	Het was erg grappig om met je te dansen	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	hier is mijn naamkaartje	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	als je het wilt	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	hier is mijn kaart, als je wilt	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	daarop staat ook ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	Er staat ook een adres op	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	er is een adres voor een website	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	een adres naar een site met cursus Espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Bedankt	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Ik stuur je een e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Oké!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	tot ziens, en goedenacht!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	tot snel!	see you!	grupo	alternativoj	prononco
level	aperas en ~	verschijnt in ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	een instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ verschijnt in de instant messenger	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ben jij die persoon?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	die persoon, die met mij had gedanst	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	zaterdagnacht	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ben jij die persoon, die zaterdagavond met mij danste?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Ja ik ben het	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Ik ben blij dat ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Ik ben blij dat je naar de site bent gekomen	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	bevalt het je? (vind je het leuk?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ja, ja	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	het is erg mooi	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	lijkt interessant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	het is erg mooi en lijkt interessant	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	nog niet ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	is nog niet helemaal klaar	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	het is nog niet helemaal klaar	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	maar binnenkort zal het zover zijn	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Ik begrijp het (ik zie)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	maar er zijn al veel hulpprogramma's	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	een woordenboek	a dictionary	grupo	alternativoj	prononco
level	superrigardo	een overzicht	an overview	grupo	alternativoj	prononco
level	ekzerco	een accijns	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	voorbeeldwoorden, overzicht, boodschapper en oefeningen	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	een overzicht van de grammatica	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	een instant messenger en diverse oefeningen	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	het is een goed begin	it is a good start	grupo	alternativoj	prononco
level	pardonon	neem me niet kwalijk, het spijt me	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Ik moet spreken met ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	om met een andere persoon te praten	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Het spijt me, ik moet met iemand anders praten	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	een taalhulp	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Ik ben haar taalhelper	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	en nu wil ze het hebben over ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	om over een oefening te praten	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	zal binnenkort terugkomen	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Ik kom snel bij je terug	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	na enkele minuten	after several minutes	grupo	alternativoj	prononco
level	finparolis	klaar met praten	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nu zijn we klaar met praten over de oefening	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	in de tussentijd, voor een tijdje	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Ik las ondertussen over Esperanto	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	ik ben niet zeker	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	weet genoeg over ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Ik ken de taal nog niet voldoende	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	een slim antwoord	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Ik zal op de site kijken	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	en zal proberen een beetje te leren	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	wil jij mijn taalhelper zijn?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	graag!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	graag gedaan!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	geen bedankje waard, maar wel een kus waard	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	zegt dat in het Esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Wat? Ik begrijp het niet	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	je kunt in een woordenboek kijken	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Helaas	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Ik moet nu het internet verlaten	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Ik kom 's avonds terug	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Ik denk dat ik tegen die tijd wel op de site zal zijn	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfect!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	nou, tot dan!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	doei!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	s avonds ook via de instant messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	welkom terug! (met betrekking tot-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	welkom terug!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Ik heb bijna alle pagina's van de site bekeken	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	best goed! geweldig!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Ik heb verschillende vragen	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Heb je tijd?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ja, ik ben 's avonds vrij	yes, I am free in the evening	grupo	alternativoj	prononco
