C.nl content.tsv
Level	Esperanto	nl	en-us	Grupo	Alternativoj	Pronoco
level	doni	geven	to give	grupo	alternativoj	prononco
level	mi	Ik mij	I, me	grupo	alternativoj	prononco
level	vi	Jij	you	grupo	alternativoj	prononco
level	havi	hebben, dragen, dragen, bezitten	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	zij	she	grupo	alternativoj	prononco
level	li	Hij	he	grupo	alternativoj	prononco
level	ili	zij	they	grupo	alternativoj	prononco
level	ĝi	Het	it	grupo	alternativoj	prononco
level	oni	één, iemand, iemand	one, someone, somebody	grupo	alternativoj	prononco
level	ni	wij ons	we, us	grupo	alternativoj	prononco
level	si	zichzelf	oneself	grupo	alternativoj	prononco
level	mem	door zichzelf	by oneself	grupo	alternativoj	prononco
level	ĝis ~	tot ~, tot ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	van ~	of ~	grupo	alternativoj	prononco
level	da ~	(veel) van ~, (veel) van ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(achtervoegsel) ding, concrete manifestatie	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	dichtbij, dichtbij, binnenkort, dichtbij	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(achtervoegsel) repetitieve actie, blijvende actie	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(achtervoegsel) tegenwoordige tijd	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(achtervoegsel) verleden tijd	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	zijn	to be	grupo	alternativoj	prononco
level	-os	(achtervoegsel) toekomstige tijd	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(voorzetsel) vóór ~, voor ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	maken, doen	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(voorzetsel) ook	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	na ~	after ~	grupo	alternativoj	prononco
level	mal-	(voorvoegsel) tegenovergesteld	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(achtervoegsel) een persoon met een bepaalde eigenschap	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(achtervoegsel) vrouwelijk	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(achtervoegsel) actief aanwezig, is ~ing, iemand die ~ing is	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(achtervoegsel) actief verleden, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(achtervoegsel) actieve toekomst, zal ~ing zijn	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	En	and	grupo	alternativoj	prononco
level	aŭ	of	or	grupo	alternativoj	prononco
level	alta	hoog lang	high, tall	grupo	alternativoj	prononco
level	jes	Ja	yes	grupo	alternativoj	prononco
level	ne	niet nee	not, no	grupo	alternativoj	prononco
level	tiom	zoveel, zoveel, zoveel	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Goed	good	grupo	alternativoj	prononco
level	kiom	hoe veel hoe veel	how much, how many	grupo	alternativoj	prononco
level	ofte	vaak vaak	often, frequently	grupo	alternativoj	prononco
level	iom	een beetje, liever, wat, enigszins	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nieuw, roman	new, novel	grupo	alternativoj	prononco
level	-at-	(achtervoegsel) passief onvoltooid deelwoord	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(achtervoegsel) passief voltooid deelwoord	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(achtervoegsel) passief toekomstig deelwoord	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	heel, heel, heel veel	very, quite, very much	grupo	alternativoj	prononco
level	tro	te, overdreven, te veel	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	echter, niettemin, maar toch	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Hé!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	dat ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	omdat ~	because ~	grupo	alternativoj	prononco
level	ĉu	of ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(achtervoegsel) plaats	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(achtervoegsel) abstracte naam van kwaliteit	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	beide ~	both ~	grupo	alternativoj	prononco
level	tuj	onmiddellijk, onmiddellijk, onmiddellijk	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	alsof ~	as if ~	grupo	alternativoj	prononco
level	kiam	wanneer	when	grupo	alternativoj	prononco
level	silenti	stil zijn, stil zijn	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nooit, nooit, nooit	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	Zodoende	therefore, so	grupo	alternativoj	prononco
level	kial	waarom, waarvoor	why, what for	grupo	alternativoj	prononco
