C.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	doni	adni	to give	grupo	alternativoj	prononco
level	mi	én, én	I, me	grupo	alternativoj	prononco
level	vi	te	you	grupo	alternativoj	prononco
level	havi	birtokolni, viselni, cipelni, birtokolni	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ő	she	grupo	alternativoj	prononco
level	li	ő	he	grupo	alternativoj	prononco
level	ili	ők	they	grupo	alternativoj	prononco
level	ĝi	azt	it	grupo	alternativoj	prononco
level	oni	egy, valaki, valaki	one, someone, somebody	grupo	alternativoj	prononco
level	ni	mi, mi	we, us	grupo	alternativoj	prononco
level	si	magát	oneself	grupo	alternativoj	prononco
level	mem	önállóan	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~-ig, ~-ig	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	~-ből	of ~	grupo	alternativoj	prononco
level	da ~	(sok) ~ból, (sok) ~ból	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(utótag) dolog, konkrét megnyilvánulás	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	közel, közel, hamarosan, közel	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(utótag) ismétlődő cselekvés, tartós cselekvés	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(utótag) jelen idő	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(utótag) múlt idő	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	lenni	to be	grupo	alternativoj	prononco
level	-os	(utótag) jövő idő	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(előszó) ~ előtt, ~ előtt	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	készíteni, csinálni	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(elöljárószó) is, szintén	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	~ után	after ~	grupo	alternativoj	prononco
level	mal-	(előtag) szemben	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(utótag) valamilyen tulajdonságú személy	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(utótag) nő	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(utótag) aktív jelen, van ~ing, valaki, aki ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(utótag) aktív múlt, volt ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(utótag) aktív jövő, lesz ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
