C.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	doni	att ge	to give	grupo	alternativoj	prononco
level	mi	Jag, jag	I, me	grupo	alternativoj	prononco
level	vi	du	you	grupo	alternativoj	prononco
level	havi	att ha, att bära, att bära, att äga	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	hon	she	grupo	alternativoj	prononco
level	li	han	he	grupo	alternativoj	prononco
level	ili	de	they	grupo	alternativoj	prononco
level	ĝi	Det	it	grupo	alternativoj	prononco
level	oni	en, någon, någon	one, someone, somebody	grupo	alternativoj	prononco
level	ni	vi oss	we, us	grupo	alternativoj	prononco
level	si	sig	oneself	grupo	alternativoj	prononco
level	mem	av en själv	by oneself	grupo	alternativoj	prononco
level	ĝis ~	upp till ~, tills ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	av ~	of ~	grupo	alternativoj	prononco
level	da ~	(mycket) av ~, (många) av ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) sak, konkret manifestation	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	nära, nära, snart, nära	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) repetitiv handling, bestående handling	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) presens	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) dåtid	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	att vara	to be	grupo	alternativoj	prononco
level	-os	(suffix) framtida tid	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) före ~, framför ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	att göra, att göra	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) också	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	efter ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) mittemot	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) en person av någon egenskap	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) hona	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) aktiv närvarande, är ~ing, någon som ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) aktivt förflutet, var ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) aktiv framtid, kommer att vara ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	och	and	grupo	alternativoj	prononco
level	aŭ	eller	or	grupo	alternativoj	prononco
level	alta	hög, hög	high, tall	grupo	alternativoj	prononco
level	jes	ja	yes	grupo	alternativoj	prononco
level	ne	inte nej	not, no	grupo	alternativoj	prononco
level	tiom	så mycket, så mycket, så mycket	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Bra	good	grupo	alternativoj	prononco
level	kiom	hur mycket hur många	how much, how many	grupo	alternativoj	prononco
level	ofte	ofta, ofta	often, frequently	grupo	alternativoj	prononco
level	iom	lite, snarare, något, något	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	ny, roman	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) passiv presens particip	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) passiv particip	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) passiv framtida particip	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	väldigt, ganska, väldigt mycket	very, quite, very much	grupo	alternativoj	prononco
level	tro	för, överdrivet, för mycket	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	dock icke desto mindre, men, ändå	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	åh! Hej!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	att ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	eftersom ~	because ~	grupo	alternativoj	prononco
level	ĉu	om ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) plats	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) abstrakt namn på kvalitet	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	båda ~	both ~	grupo	alternativoj	prononco
level	tuj	omedelbart, omedelbart, direkt	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	som om ~	as if ~	grupo	alternativoj	prononco
level	kiam	när	when	grupo	alternativoj	prononco
level	silenti	att vara tyst, att vara tyst	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	aldrig, aldrig, aldrig	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	därför så	therefore, so	grupo	alternativoj	prononco
level	kial	varför, vad för	why, what for	grupo	alternativoj	prononco
level	kvankam	även om ~, medan, dock	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) vid ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	Mer	more	grupo	alternativoj	prononco
level	plej	mest	most	grupo	alternativoj	prononco
level	diri	att säga, att berätta	to say, to tell	grupo	alternativoj	prononco
level	ol ~	än ~	than ~	grupo	alternativoj	prononco
level	paroli	att tala, att prata	to speak, to talk	grupo	alternativoj	prononco
level	kia	vilken sorts, vilken sorts	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	sådant, sånt, sådant	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	knappt, knappt, knappt	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	att skicka	to send	grupo	alternativoj	prononco
level	ĵus	bara (för ett ögonblick sedan), just nu	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	utanför ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) båda könen, båda könen	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) skulle, bör, konjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	snart	soon	grupo	alternativoj	prononco
level	almenaŭ	åtminstone om inte annat	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) behållare; Land	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	att lära	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) början; plötslig start	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	om, förutsatt att	if, provided that	grupo	alternativoj	prononco
level	eĉ	även	even	grupo	alternativoj	prononco
level	amo	en kärlek	a love	grupo	alternativoj	prononco
level	jam	redan, så snart, som nu	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Här! Se! Skåda	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	avsluta, avsluta, avsluta	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	så alltså alltså	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, (what)ever, at all, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	lätt, lättsamt	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	stor, stor, stor	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) professionell	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) på grund av ~, på grund av ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) ledare, chef, chef, chef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
