A.ru content.tsv
Level	Esperanto	ru	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Я тебя	I, you	grupo	alternativoj	prononco
level	estas, estis	(настоящее) есть, есть, (прошлое) было, были	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	я ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	ты ~	you are ~	grupo	alternativoj	prononco
level	saluton	привет	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	привет, я ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	мое твое	my, your	grupo	alternativoj	prononco
level	nomo	имя	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	мое имя, твое имя	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	меня зовут ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	тебя зовут ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(настоящее) делает, (прошлое) делал	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(настоящее) было, были (будущее) будет	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	имя, (объективное) имя	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	моя любовь	my love	grupo	alternativoj	prononco
level	vi fartas	ты делаешь ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	как	how	grupo	alternativoj	prononco
level	kiel vi fartas?	как дела?	how are you doing?	grupo	alternativoj	prononco
level	kio	что	what	grupo	alternativoj	prononco
level	kio estas via nomo?	как вас зовут?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	хорошо	good, well	grupo	alternativoj	prononco
level	fartas bone	дела идут хорошо	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	у меня все хорошо	I am doing well	grupo	alternativoj	prononco
level	kaj	и	and	grupo	alternativoj	prononco
level	bone, kaj vi?	нормально, а Вы?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	пока ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(настоящее) видит, (прошлое) видел	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(прошлое) видел, (прошлое) видел снова	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	увидел еще раз, увижу еще раз	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	снова увидеть, снова увидеть (цель)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	еще увидимся!	see you again!	grupo	alternativoj	prononco
level	dankon	Спасибо	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	спасибо и увидимся снова!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	до ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	тебе, мне	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(настоящее) спасибо, (прошлое) поблагодарил	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Я ценю тебя	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	да нет	yes, no	grupo	alternativoj	prononco
level	jes, dankon	да, думаю, ты	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	ест, будет есть	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	я не ем	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	нет, я не ем	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	красиво, красиво	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	стоящий (окончание)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	ценно, стоит поблагодарить	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	целый, в целом	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	все, (объективное) все	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	нисколько, пожалуйста	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	совершенно нет	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	прощать, прощающий	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	прощающий меня	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Мне жаль! (простите)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	извини, пожалуйста	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	доброе утро	a good morning	grupo	alternativoj	prononco
level	bonan matenon	доброе утро	good morning	grupo	alternativoj	prononco
level	bonan nokton	Спокойной ночи	good night	grupo	alternativoj	prononco
level	bonan sonĝon	сладкий сон	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(хорошего) путешествия тебе	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	добрый день!	good day!	grupo	alternativoj	prononco
level	ĉu ~	это ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	у тебя все хорошо? (Как вы?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Да, я в порядке	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	нет, совсем нет	no, not at all	grupo	alternativoj	prononco
level	tre, tro	очень, слишком много	very, too much	grupo	alternativoj	prononco
level	granda, grande	большой, во многом	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	очень большой, слишком большой	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	у тебя дела идут очень хорошо	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	не очень хорошо	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	учиться, обучение	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	смотрит, зритель	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	учится, студент (учащийся)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, человек, который делает	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	студент, человек, который научился	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Я студент.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ мой друг	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	он она	he, she	grupo	alternativoj	prononco
level	sidi, sidas	сидеть, сидит	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	сидит, сидел, будет сидеть	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	он сидит, а она учится	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	комната	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	учится в комнате	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	студент и спортсмен	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	спорт и спортсмен	sport and a sportsman	grupo	alternativoj	prononco
