A.te content.tsv
Level	Esperanto	te	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	నేను మీరు	I, you	grupo	alternativoj	prononco
level	estas, estis	(ప్రస్తుతం) is, am, are (past) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	నేను ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	మీరు ~	you are ~	grupo	alternativoj	prononco
level	saluton	హలో	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	హలో, నేను ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	నా నీది	my, your	grupo	alternativoj	prononco
level	nomo	ఒక పేరు	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	నా పేరు, మీ పేరు	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	నా పేరు ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	మీ పేరు ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(ప్రస్తుతం) చేస్తుంది, (గతం) చేసింది	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(ప్రస్తుతం) ఉంది, ఉన్నాయి (భవిష్యత్తు) ఉంటుంది	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ఒక పేరు, ఒక (ఆబ్జెక్టివ్) పేరు	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	నా ప్రియతమా	my love	grupo	alternativoj	prononco
level	vi fartas	మీరు చేస్తున్నారు ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	ఎలా	how	grupo	alternativoj	prononco
level	kiel vi fartas?	నువ్వు ఎలా ఉన్నావు?	how are you doing?	grupo	alternativoj	prononco
level	kio	ఏమి	what	grupo	alternativoj	prononco
level	kio estas via nomo?	నీ పేరు ఏమిటి?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	సత్ప్రవర్తన	good, well	grupo	alternativoj	prononco
level	fartas bone	బాగా చేస్తున్నాడు	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	నేను బాగా ఉన్నాను	I am doing well	grupo	alternativoj	prononco
level	kaj	మరియు	and	grupo	alternativoj	prononco
level	bone, kaj vi?	బాగా, మరియు మీరు?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ వరకు	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(ప్రస్తుతం) చూస్తుంది, (గతం) చూసింది	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(గత) చూసింది, (గతం) మళ్ళీ చూసింది	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	మళ్ళీ చూసింది, మళ్ళీ చూస్తాను	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	మళ్ళీ చూడటం, మళ్ళీ చూడటం (ఆబ్జెక్టివ్)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	మళ్ళీ కలుద్దాం!	see you again!	grupo	alternativoj	prononco
level	dankon	ధన్యవాదాలు	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	ధన్యవాదాలు మరియు మళ్ళీ కలుద్దాం!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	~ వరకు	to ~	grupo	alternativoj	prononco
level	al vi, al mi	నీకు, నాకు	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(ప్రస్తుతం) ధన్యవాదాలు, (గతం) ధన్యవాదాలు	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	నేను నిన్ను అభినందిస్తున్నాను	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	అవును కాదు	yes, no	grupo	alternativoj	prononco
level	jes, dankon	అవును, ధన్యవాదాలు	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	తింటుంది, తింటుంది	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	నేను తినను	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	లేదు, నేను తినను	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	అందంగా, అందంగా	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	విలువైనది (ముగింపు)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	మెచ్చుకోదగినది, కృతజ్ఞతతో కూడుకున్నది	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	మొత్తం, మొత్తంగా	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	అన్నీ, (ఆబ్జెక్టివ్) అన్నీ	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	అస్సలు కాదు, మీకు స్వాగతం	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	పూర్తిగా లేదు	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	క్షమించుట, క్షమించుట	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	నన్ను క్షమించేవాడు	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	నన్ను క్షమించండి! (క్షమించండి)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
