C.bn content.tsv
Level	Esperanto	bn	en-us	Grupo	Alternativoj	Pronoco
level	doni	প্রদান করা	to give	grupo	alternativoj	prononco
level	mi	আমি, আমি	I, me	grupo	alternativoj	prononco
level	vi	আপনি	you	grupo	alternativoj	prononco
level	havi	আছে, পরতে, বহন, মালিকানাধীন	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	সে	she	grupo	alternativoj	prononco
level	li	তিনি	he	grupo	alternativoj	prononco
level	ili	তারা	they	grupo	alternativoj	prononco
level	ĝi	এটা	it	grupo	alternativoj	prononco
level	oni	একজন, কেউ, কেউ	one, someone, somebody	grupo	alternativoj	prononco
level	ni	আমরা আমাদের	we, us	grupo	alternativoj	prononco
level	si	নিজেকে	oneself	grupo	alternativoj	prononco
level	mem	নিজের দ্বারা	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ পর্যন্ত, ~ পর্যন্ত	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	এর ~	of ~	grupo	alternativoj	prononco
level	da ~	(অনেক) এর ~, (অনেক) এর ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(প্রত্যয়) জিনিস, কংক্রিট প্রকাশ	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	কাছাকাছি, কাছাকাছি, শীঘ্রই, কাছাকাছি	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(প্রত্যয়) পুনরাবৃত্তিমূলক কর্ম, স্থায়ী কর্ম	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(প্রত্যয়) বর্তমান কাল	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(প্রত্যয়) অতীত কাল	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	হতে	to be	grupo	alternativoj	prononco
level	-os	(প্রত্যয়) ভবিষ্যৎ কাল	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(অব্যয়) ~ এর আগে, ~ এর সামনে	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	করতে, করতে	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(অব্যয়) এছাড়াও, খুব	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	~ পরে	after ~	grupo	alternativoj	prononco
level	mal-	(উপসর্গ) বিপরীত	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(প্রত্যয়) কিছু বৈশিষ্ট্যের একজন ব্যক্তি	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(প্রত্যয়) মহিলা	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(প্রত্যয়) সক্রিয় বর্তমান, is ~ing, কেউ যিনি ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(প্রত্যয়) সক্রিয় অতীত, ছিল ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(প্রত্যয়) সক্রিয় ভবিষ্যৎ, হবে ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	এবং	and	grupo	alternativoj	prononco
level	aŭ	বা	or	grupo	alternativoj	prononco
level	alta	উঁচু লম্বা	high, tall	grupo	alternativoj	prononco
level	jes	হ্যাঁ	yes	grupo	alternativoj	prononco
level	ne	না, না	not, no	grupo	alternativoj	prononco
level	tiom	যে পরিমাণ, এত পরিমাণ, সেই পরিমাণ	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	ভাল	good	grupo	alternativoj	prononco
level	kiom	কত দাম কত গুলো	how much, how many	grupo	alternativoj	prononco
level	ofte	প্রায়ই, ঘন ঘন	often, frequently	grupo	alternativoj	prononco
level	iom	একটু, বরং, কিছু, কিছুটা	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	নতুন, উপন্যাস	new, novel	grupo	alternativoj	prononco
level	-at-	(প্রত্যয়) নিষ্ক্রিয় বর্তমান কণা	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(প্রত্যয়) নিষ্ক্রিয় অতীত কণা	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(প্রত্যয়) নিষ্ক্রিয় ভবিষ্যত কণা	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	খুব, বেশ, খুব	very, quite, very much	grupo	alternativoj	prononco
level	tro	খুব, অত্যধিক, খুব বেশি	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	যাইহোক, তবুও, কিন্তু, তবুও	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	উহু! হো!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	যে ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	কারণ ~	because ~	grupo	alternativoj	prononco
level	ĉu	কিনা ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(প্রত্যয়) স্থান	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(প্রত্যয়) গুণের বিমূর্ত নাম	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	উভয় ~	both ~	grupo	alternativoj	prononco
level	tuj	অবিলম্বে, অবিলম্বে, অবিলম্বে	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	যেন ~	as if ~	grupo	alternativoj	prononco
level	kiam	কখন	when	grupo	alternativoj	prononco
level	silenti	চুপ থাকা, চুপ থাকা	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	কখনও, কোন সময়ে, কখনও না	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	অতএব, তাই	therefore, so	grupo	alternativoj	prononco
level	kial	কেন, কি জন্য	why, what for	grupo	alternativoj	prononco
level	kvankam	যদিও ~, যদিও, যদিও	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) at ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	আরো	more	grupo	alternativoj	prononco
level	plej	সর্বাধিক	most	grupo	alternativoj	prononco
level	diri	বলা, বলা	to say, to tell	grupo	alternativoj	prononco
level	ol ~	চেয়ে ~	than ~	grupo	alternativoj	prononco
level	paroli	কথা বলা, কথা বলা	to speak, to talk	grupo	alternativoj	prononco
level	kia	কি ধরনের, কি ধরনের	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	যেমন, যে ধরনের, যেমন একটি	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	barely, hardly, scarecely	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	পাঠাতে	to send	grupo	alternativoj	prononco
level	ĵus	ঠিক (এক মুহূর্ত আগে), এখনই	just (a moment ago), just now	grupo	alternativoj	prononco
