A.he content.tsv
Level	Esperanto	he	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	אני, אתה	I, you	grupo	alternativoj	prononco
level	estas, estis	(הווה) הוא, אני, הם (עבר) היה, היו	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	אני ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	אתה ~	you are ~	grupo	alternativoj	prononco
level	saluton	שלום	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	שלום, אני ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	שלי שלך	my, your	grupo	alternativoj	prononco
level	nomo	שם	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	השם שלי, השם שלך	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	שמי הוא ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	שמך הוא ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(הווה) עושה, (עבר) עשה	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(הווה) היה, היו (עתיד) יהיה	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	שם, שם (אובייקטיבי).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	אהובי	my love	grupo	alternativoj	prononco
level	vi fartas	אתה עושה ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	אֵיך	how	grupo	alternativoj	prononco
level	kiel vi fartas?	מה שלומך?	how are you doing?	grupo	alternativoj	prononco
level	kio	מה	what	grupo	alternativoj	prononco
level	kio estas via nomo?	מה השם שלך?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	טוב, טוב	good, well	grupo	alternativoj	prononco
level	fartas bone	מסתדר היטב	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	אני בסדר	I am doing well	grupo	alternativoj	prononco
level	kaj	ו	and	grupo	alternativoj	prononco
level	bone, kaj vi?	בסדר ואתה?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	עד ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(הווה) רואה, (עבר) ראה	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(עבר) ראה, (עבר) ראה שוב	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	ראה שוב, יראה שוב	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	לראות-שוב, לראות-שוב (אובייקטיבי)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	נתראה שוב!	see you again!	grupo	alternativoj	prononco
level	dankon	תודה	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	תודה ולהתראות שוב!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	ל~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	לך, לי	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(הווה) תודה, (עבר) הודה	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	אני מעריך אותך	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	כן לא	yes, no	grupo	alternativoj	prononco
level	jes, dankon	כן, תודה לך	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	אוכל, יאכל	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	אני לא אוכל	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	לא, אני לא אוכל	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	יפה, יפה	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	כדאי (סיום)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	ראוי להערכה, כדאי להודות	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	שלם, כמכלול	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	הכל, (אובייקטיבי) הכל	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	בכלל לא, אתה מוזמן	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	לגמרי לא	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	לסלוח, סולח	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	סלחנית עבורי	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	אני מצטער! (סלח לי)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	אני מצטער בבקשה	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	בוקר טוב	a good morning	grupo	alternativoj	prononco
level	bonan matenon	בוקר טוב	good morning	grupo	alternativoj	prononco
level	bonan nokton	לילה טוב	good night	grupo	alternativoj	prononco
level	bonan sonĝon	חלום מתוק	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(שיהיה) נסיעה טובה לך	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	יום טוב!	good day!	grupo	alternativoj	prononco
level	ĉu ~	זה ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	אתה מסתדר טוב? (מה שלומך?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	כן אני בסדר	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	בכלל לא	no, not at all	grupo	alternativoj	prononco
level	tre, tro	מאוד, יותר מדי	very, too much	grupo	alternativoj	prononco
level	granda, grande	גדול, במידה רבה	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	גדול מאוד, גדול מדי	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	אתה עושה מאד טוב	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	לא טוב במיוחד	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	ללמוד, למידה	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	מסתכל, צופה	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	הוא לומד, תלמיד (אדם לומד)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	הוא -ינג, אדם שעושה	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	תלמיד, אדם שלמד	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	אני סטודנט.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ הוא חבר שלי	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	הוא היא	he, she	grupo	alternativoj	prononco
level	sidi, sidas	לשבת, יושב	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	יושב, ישב, ישב	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	הוא יושב והיא לומדת	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	חדר	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	לומד בחדר	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	סטודנט וספורטאי	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	ספורט ואיש ספורט	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ספורטאי עושה ספורט	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	הוא סטודנט	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	הוא סטודנט וספורטאי	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	הוא יושב עכשיו	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ועכשיו לומד	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	יושב ולומד	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	עכשיו בחדר	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	נמצא על שולחן	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	נייר וניירות	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	שולחן ושולחנות	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ספר וספרים	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	הניירות והספרים	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	זה על שולחן.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	כותב על שולחן כתיבה	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	הספרים הם ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	על השולחן	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ספר לימוד וספרי הלימוד	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	על השולחן יש ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	אבא ואמא	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	האב והאם	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	אמא של חבר שלי	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	בחדר	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	לא נמצא בחדר	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	הם עובדים עכשיו	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	אביו עובד	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	הוא עובד בבית מלון	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	האם מלמדת	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	היא מורה	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	היא אמא?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	לא, היא מלונאית	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	לא, אני לא עובד	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	איך קוראים לה?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	מי עונה עכשיו	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	שפת אמם	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	האם שמך ~ ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	אנחנו יושבים ועונים	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	כיסא העבודה שלה	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	שמו אינו ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	השפה שלה היא השפה שלהם	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	אבא ואמא שלנו	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	התלמיד שלך, התלמידים שלך	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	האם הם התלמידים שלך?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	האם אתה סטודנט?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	אתה בחדר?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	אני לא ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	אספרנטיסטית ואספרנטיסטית	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	צ'ק אין לחדר המלון	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	בלשן ועובדת	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	החברה שלו היא ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	תלמידים וספורטאים	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	שם המשפחה שלי הוא ~	my familia name is ~	grupo	alternativoj	prononco
