A.uk content.tsv
Level	Esperanto	uk	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Я тебе	I, you	grupo	alternativoj	prononco
level	estas, estis	(теперішній) is, am, are (past) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Я ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	ти ~	you are ~	grupo	alternativoj	prononco
level	saluton	привіт	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	привіт, я ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	моя, твоя	my, your	grupo	alternativoj	prononco
level	nomo	ім'я	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	моє ім'я, твоє ім'я	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	мене звати ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	тебе звати ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(теперішнє) робить, (минуле) робило	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(теперішнє) було, були (майбутнє) буде	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ім'я, (об'єктивне) ім'я	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	моя любов	my love	grupo	alternativoj	prononco
level	vi fartas	ти робиш ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	як	how	grupo	alternativoj	prononco
level	kiel vi fartas?	як справи?	how are you doing?	grupo	alternativoj	prononco
level	kio	що	what	grupo	alternativoj	prononco
level	kio estas via nomo?	як вас звати?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	добре, добре	good, well	grupo	alternativoj	prononco
level	fartas bone	почувається добре	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	в мене все добре	I am doing well	grupo	alternativoj	prononco
level	kaj	і	and	grupo	alternativoj	prononco
level	bone, kaj vi?	добре а ти?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	до ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(теперішнє) бачить, (минуле) побачив	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(минуле) побачив, (минуле) знову побачив	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	побачив знову, побачу знову	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	знову побачити, знову побачити (об'єктивне)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	побачимось!	see you again!	grupo	alternativoj	prononco
level	dankon	Дякую	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	дякую і до нових зустрічей!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	до ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	тобі, мені	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(теперішній) дякувати, (минулий) дякувати	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Я ціную вас	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	так ні	yes, no	grupo	alternativoj	prononco
level	jes, dankon	так, дякую	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	їсть, буде їсти	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	я не їм	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ні, я не їм	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	красиво, красиво	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	варто (кінець)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	вагомий, вартий подяки	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
