C.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	doni	a da	to give	grupo	alternativoj	prononco
level	mi	Eu mie	I, me	grupo	alternativoj	prononco
level	vi	tu	you	grupo	alternativoj	prononco
level	havi	a avea, a purta, a purta, a deține	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ea	she	grupo	alternativoj	prononco
level	li	el	he	grupo	alternativoj	prononco
level	ili	ei	they	grupo	alternativoj	prononco
level	ĝi	aceasta	it	grupo	alternativoj	prononco
level	oni	unul, cineva, cineva	one, someone, somebody	grupo	alternativoj	prononco
level	ni	noi	we, us	grupo	alternativoj	prononco
level	si	pe sine	oneself	grupo	alternativoj	prononco
level	mem	de unul singur	by oneself	grupo	alternativoj	prononco
level	ĝis ~	până la ~, până la ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	de ~	of ~	grupo	alternativoj	prononco
level	da ~	(mult) din ~, (multe) din ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(sufix) lucru, manifestare concretă	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	aproape, aproape de, în curând, în apropiere	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(sufix) acțiune repetitivă, acțiune de durată	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(sufix) timpul prezent	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(sufix) trecut	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	a fi	to be	grupo	alternativoj	prononco
level	-os	(sufix) timp viitor	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(prepoziție) înainte de ~, în fața lui ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	a face, a face	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(prepoziție) de asemenea, de asemenea	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	după ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) opus	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(sufix) o persoană cu o anumită trăsătură	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(sufix) feminin	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(sufix) prezent activ, is ~ing, cineva care ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(sufix) trecut activ, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(sufix) viitor activ, va fi ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	și	and	grupo	alternativoj	prononco
level	aŭ	sau	or	grupo	alternativoj	prononco
level	alta	înalt, înalt	high, tall	grupo	alternativoj	prononco
level	jes	da	yes	grupo	alternativoj	prononco
level	ne	nu, nu	not, no	grupo	alternativoj	prononco
level	tiom	atâta, atâta sumă, acea sumă	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	bun	good	grupo	alternativoj	prononco
level	kiom	cat de mult cat de multi	how much, how many	grupo	alternativoj	prononco
level	ofte	des, frecvent	often, frequently	grupo	alternativoj	prononco
level	iom	puțin, mai degrabă, ceva, oarecum	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nou, nou	new, novel	grupo	alternativoj	prononco
level	-at-	(sufix) participiu prezent pasiv	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(sufix) participiu trecut pasiv	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(sufix) participiu viitor pasiv	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	foarte, destul, foarte mult	very, quite, very much	grupo	alternativoj	prononco
level	tro	prea, excesiv, prea mult	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	cu toate acestea, cu toate acestea, dar, cu toate acestea	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	că ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	deoarece ~	because ~	grupo	alternativoj	prononco
level	ĉu	dacă ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(sufix) loc	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(sufix) nume abstract al calității	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	ambele ~	both ~	grupo	alternativoj	prononco
level	tuj	imediat, instantaneu, imediat	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	parcă ~	as if ~	grupo	alternativoj	prononco
level	kiam	când	when	grupo	alternativoj	prononco
level	silenti	a tace, a tace	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	niciodata, niciodata, niciodata	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	deci, deci	therefore, so	grupo	alternativoj	prononco
level	kial	de ce, pentru ce	why, what for	grupo	alternativoj	prononco
level	kvankam	deşi ~, în timp ce, totuşi	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(prepoziție) la ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	Mai mult	more	grupo	alternativoj	prononco
level	plej	cel mai	most	grupo	alternativoj	prononco
level	diri	a spune, a spune	to say, to tell	grupo	alternativoj	prononco
level	ol ~	decât ~	than ~	grupo	alternativoj	prononco
level	paroli	a vorbi, a vorbi	to speak, to talk	grupo	alternativoj	prononco
level	kia	ce fel de, ce fel de	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	așa, așa, așa	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	abia, cu greu, cu greu	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	a trimite	to send	grupo	alternativoj	prononco
level	ĵus	tocmai (cu o clipă în urmă), tocmai acum	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(sufix) imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	afară ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) ambele sexe, ambele genuri	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(sufix) ar, ar trebui, conjunctiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	curând	soon	grupo	alternativoj	prononco
level	almenaŭ	cel puțin, dacă nimic altceva	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(sufix) recipient; țară	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	a invata	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) început; pornire bruscă	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	dacă, cu condiția ca	if, provided that	grupo	alternativoj	prononco
level	eĉ	chiar	even	grupo	alternativoj	prononco
level	amo	o dragoste	a love	grupo	alternativoj	prononco
level	jam	deja, atât de curând, de acum	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Aici! Iată! Iată	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	a termina, a termina, a termina	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	deci, atunci, deci	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, (ce)ever, at all, -toever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	usor, usor	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	mare, mare, mare	big, great, large	grupo	alternativoj	prononco
level	-ist-	(sufix) profesional	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(prepoziție) din cauza ~, din cauza ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(sufix) conducător, șef, șef, șef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	ce	what	grupo	alternativoj	prononco
level	manĝi	a mânca	to eat	grupo	alternativoj	prononco
level	nenio	nimic, nimic, nimic	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	tineri	young	grupo	alternativoj	prononco
level	ĉio	Tot	everything	grupo	alternativoj	prononco
level	riĉa	bogat, bogat, bogat	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	chestia aia, aceea	that thing, that	grupo	alternativoj	prononco
level	konstrui	a construi, a construi	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) șef, conducător, principal	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(prepoziție) fără ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(prepoziție) cu ~ (împreună)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(prepoziție) cu excepția ~, pe lângă ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	un prieten	a friend	grupo	alternativoj	prononco
level	kies	a cui, care este, din care	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(prepoziție) prin ~ (o metodă), cu ~ (un instrument)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	împotriva ~	against ~	grupo	alternativoj	prononco
level	el ~	din ~, din ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	astăzi	today	grupo	alternativoj	prononco
level	hieraŭ	ieri	yesterday	grupo	alternativoj	prononco
level	nur	numai, doar, exclusiv	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	a ajuta, a ajuta, a ajuta	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) departe, departe	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	nici, nici	nor, neither	grupo	alternativoj	prononco
level	malamo	o ură	a hate	grupo	alternativoj	prononco
level	preskaŭ	aproape, aproape	almost, nearly	grupo	alternativoj	prononco
level	tra ~	prin ~	through ~	grupo	alternativoj	prononco
level	super	peste, deasupra	over, above	grupo	alternativoj	prononco
level	trans ~	peste ~, peste ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	bine, atunci, acum	well, well then, now	grupo	alternativoj	prononco
level	pri ~	despre ~	about ~	grupo	alternativoj	prononco
level	por ~	pentru ~, pentru ca ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	Mâine	tomorrow	grupo	alternativoj	prononco
level	nun	acum, în prezent	now, at present	grupo	alternativoj	prononco
level	laŭ ~	conform ~, de-a lungul ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	fiecare, fiecare, toată lumea, toate	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	cine, care, care	who, which, which one	grupo	alternativoj	prononco
level	tiu	acea persoană, aceea ~, aceea, acolo	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	cineva, cineva, unii	someone, somebody, some	grupo	alternativoj	prononco
