B.ms content.tsv
Level	Esperanto	ms	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	hello!	hello!	grupo	alternativoj	prononco
level	mi estas ~	saya ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	siapa awak	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	nama saya ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Saya gembira	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Saya juga gembira	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	kerap datang	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ke tempat menari ini	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	adakah anda sering datang ke tempat menari ini?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	tidak, adakah anda?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	saya tidak juga	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ adalah nama yang menarik	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	adakah ia	is it?	grupo	alternativoj	prononco
level	ĉu ne?	bukan?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	dalam cara apa?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	berkaitan dengan ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	ia berkaitan dengan bahasa Esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	apa?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Saya tidak mendengar dengan baik	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ terlalu kuat	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	muziknya terlalu kuat	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Saya berkata bahawa ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Saya berkata bahawa nama anda berkaitan dengan Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	betul ke?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	satu berita untuk saya	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	itu berita untuk saya	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	adakah anda mendengar tentang ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	adakah anda mendengar tentang bahasa Esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Saya tidak tahu itu ~	I didn't know that ~	grupo	alternativoj	prononco
