C.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	doni	dar	to give	grupo	alternativoj	prononco
level	mi	eu, eu	I, me	grupo	alternativoj	prononco
level	vi	você	you	grupo	alternativoj	prononco
level	havi	ter, usar, carregar, possuir	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ela	she	grupo	alternativoj	prononco
level	li	ele	he	grupo	alternativoj	prononco
level	ili	eles	they	grupo	alternativoj	prononco
level	ĝi	isto	it	grupo	alternativoj	prononco
level	oni	um, alguém, alguém	one, someone, somebody	grupo	alternativoj	prononco
level	ni	nós, nós	we, us	grupo	alternativoj	prononco
level	si	si mesmo	oneself	grupo	alternativoj	prononco
level	mem	por ele mesmo	by oneself	grupo	alternativoj	prononco
level	ĝis ~	até ~, até ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	de ~	of ~	grupo	alternativoj	prononco
level	da ~	(muito) de ~, (muitos) de ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(sufixo) coisa, manifestação concreta	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	perto, perto de, em breve, próximo	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(sufixo) ação repetitiva, ação duradoura	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(sufixo) presente	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(sufixo) pretérito	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	ser	to be	grupo	alternativoj	prononco
level	-os	(sufixo) tempo futuro	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposição) antes de ~, na frente de ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	fazer, fazer	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposição) também, também	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	depois ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefixo) oposto	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(sufixo) uma pessoa com alguma característica	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(sufixo) feminino	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(sufixo) presente ativo, está ~ing, alguém que está ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(sufixo) passado ativo, estava ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(sufixo) futuro ativo, estará ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	e	and	grupo	alternativoj	prononco
level	aŭ	ou	or	grupo	alternativoj	prononco
level	alta	alto, alto	high, tall	grupo	alternativoj	prononco
level	jes	sim	yes	grupo	alternativoj	prononco
level	ne	não não	not, no	grupo	alternativoj	prononco
level	tiom	tanto, tal quantia, aquela quantia	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	bom	good	grupo	alternativoj	prononco
level	kiom	quanto quanto	how much, how many	grupo	alternativoj	prononco
level	ofte	muitas vezes, frequentemente	often, frequently	grupo	alternativoj	prononco
level	iom	um pouco, antes, alguns, um pouco	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	novo, romance	new, novel	grupo	alternativoj	prononco
level	-at-	(sufixo) particípio presente passivo	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(sufixo) particípio passado passivo	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(sufixo) particípio futuro passivo	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	muito, bastante, muito	very, quite, very much	grupo	alternativoj	prononco
level	tro	também, excessivamente, demais	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	no entanto, contudo, mas, no entanto	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	isso ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	porque ~	because ~	grupo	alternativoj	prononco
level	ĉu	se ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(sufixo) lugar	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(sufixo) nome abstrato da qualidade	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	ambos ~	both ~	grupo	alternativoj	prononco
level	tuj	imediatamente, instantaneamente, imediatamente	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	como se ~	as if ~	grupo	alternativoj	prononco
level	kiam	quando	when	grupo	alternativoj	prononco
level	silenti	ficar em silêncio, ficar quieto	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nunca, em nenhum momento, nunca	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	portanto, então	therefore, so	grupo	alternativoj	prononco
level	kial	por que, para que	why, what for	grupo	alternativoj	prononco
level	kvankam	embora ~, enquanto, embora	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposição) em ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	mais	more	grupo	alternativoj	prononco
level	plej	maioria	most	grupo	alternativoj	prononco
level	diri	dizer, contar	to say, to tell	grupo	alternativoj	prononco
level	ol ~	do que ~	than ~	grupo	alternativoj	prononco
level	paroli	falar, falar	to speak, to talk	grupo	alternativoj	prononco
level	kia	que tipo de, que tipo de	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	tal, esse tipo de, tal	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	mal, dificilmente, raramente	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	enviar	to send	grupo	alternativoj	prononco
level	ĵus	apenas (um momento atrás), agora mesmo	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(sufixo) imperativo	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	fora ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefixo) ambos os sexos, ambos os gêneros	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(sufixo) seria, deveria, subjuntivo	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	breve	soon	grupo	alternativoj	prononco
level	almenaŭ	pelo menos, se nada mais	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(sufixo) contêiner; país	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	aprender	to learn	grupo	alternativoj	prononco
level	ek-	(prefixo) início; começo repentino	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	se, desde que	if, provided that	grupo	alternativoj	prononco
level	eĉ	até	even	grupo	alternativoj	prononco
level	amo	um amor	a love	grupo	alternativoj	prononco
level	jam	já, tão cedo, a partir de agora	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Aqui! Veja! Contemplar	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	terminar, terminar, terminar	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	então, então, portanto	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ sempre, (o que) sempre, em tudo, - seja como for	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	fácil, fácil	easy, facile	grupo	alternativoj	prononco
level	re-	(prefixo) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	grande, ótimo, grande	big, great, large	grupo	alternativoj	prononco
level	-ist-	(sufixo) profissional	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposição) por causa de ~, devido a ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(sufixo) líder, chefe, chefe, chefe	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	o que	what	grupo	alternativoj	prononco
