C.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	doni	دینا	to give	grupo	alternativoj	prononco
level	mi	میں، میں	I, me	grupo	alternativoj	prononco
level	vi	تم	you	grupo	alternativoj	prononco
level	havi	رکھنا، پہننا، لے جانا، مالک ہونا	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	وہ	she	grupo	alternativoj	prononco
level	li	وہ	he	grupo	alternativoj	prononco
level	ili	وہ	they	grupo	alternativoj	prononco
level	ĝi	یہ	it	grupo	alternativoj	prononco
level	oni	ایک، کوئی، کوئی	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ہم، ہم	we, us	grupo	alternativoj	prononco
level	si	اپنے آپ کو	oneself	grupo	alternativoj	prononco
level	mem	خود سے	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ تک، ~ تک	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	کا ~	of ~	grupo	alternativoj	prononco
level	da ~	(بہت) کا ~، (بہت) کا ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<suffix>چیز، ٹھوس مظہر	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	قریب، قریب، جلد، قریب	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<suffix>بار بار کارروائی، دیرپا کارروائی	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<suffix>زمانہ حال	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<suffix>فعل ماضی	<suffix> past tense	grupo	alternativoj	prononco
level	esti	بننا	to be	grupo	alternativoj	prononco
level	-os	<suffix>فعل مستقبل	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<preposition>~ سے پہلے، ~ کے سامنے	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	بنانا، کرنا	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<preposition>بھی، بھی	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	کے بعد ~	after ~	grupo	alternativoj	prononco
level	mal-	<prefix>برعکس	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	<suffix>کسی خاصیت کا آدمی	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<suffix>عورت	<suffix> female	grupo	alternativoj	prononco
