A.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	ฉันคุณ	I, you	grupo	alternativoj	prononco
level	estas, estis	(ปัจจุบัน) คือ เป็น เป็น (อดีต) เป็น เป็น	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	ฉัน~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	คุณคือ ~	you are ~	grupo	alternativoj	prononco
level	saluton	สวัสดี	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	สวัสดี ฉันเอง~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	ของฉันของคุณ	my, your	grupo	alternativoj	prononco
level	nomo	ชื่อ	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	ชื่อของฉัน ชื่อของคุณ	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	ฉันชื่อ ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	คุณชื่อ ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(ปัจจุบัน) ทำ (อดีต) ทำ	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(ปัจจุบัน) เคยเป็น (อนาคต) จะเป็น	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ชื่อชื่อ (วัตถุประสงค์)	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	ที่รัก	my love	grupo	alternativoj	prononco
level	vi fartas	คุณกำลังทำ ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	ยังไง	how	grupo	alternativoj	prononco
level	kiel vi fartas?	เป็นอย่างไรบ้าง	how are you doing?	grupo	alternativoj	prononco
level	kio	อะไร	what	grupo	alternativoj	prononco
level	kio estas via nomo?	คุณชื่ออะไร	what is your name?	grupo	alternativoj	prononco
level	bona, bone	ดี	good, well	grupo	alternativoj	prononco
level	fartas bone	กำลังทำได้ดี	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	ฉันทำดีแล้ว	I am doing well	grupo	alternativoj	prononco
level	kaj	และ	and	grupo	alternativoj	prononco
level	bone, kaj vi?	สบายดีแล้วคุณล่ะ?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	จนกระทั่ง ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(ปัจจุบัน) เห็น (อดีต) เห็น	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(อดีต) เห็นแล้ว (อดีต) เห็นอีก	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	เห็นอีกแล้วจะได้เห็นอีก	saw again, will see again	grupo	alternativoj	prononco
